TIME,TRANSCRIPTION (SESOTHO),TRANSLATION (ENGLISH),NOTES,Notes
15:23-16:38,"Ha ngoanana a nyaloa lilemong tsee ho se ho fapane le khale. 
  Khale ha moshanyana a ne a khahluoe ke ngoanana o ne a joetsa batsoali,e be batsoali bae a ha bo ngoanana ba ilo mokopa. 
  Ngoanana o ne a tla nyaloa a rata kapa a sa rate ha feela batsoali bah ae ba rata lelapa la bo moshanyana. 
  Empa li lemong tsa ka jeno,ngaoanana le moshanyana ba qala pele ba ratana,e be ho tla uoa ha bo ngaoanana a lo kopuoa,`me ha malapa a mabeli a lumellana,ho tla nts`uoa likhomo ba nto nyalana lenyalo la Sesotho. 
  Ka letsatsi leo ngoanana a nyaloang batsoali bah ae bat la morekela lintho tse ncha tseo a tlang ho qala bophelo ba lenyalo ka tsona,mohlala,likobo, linkho,lefielo,chale le tse ling tse ngata.","When a girl gets married in this age, it is different than before. 
  In the past, when a boy was attracted to a girl, he would tell his parents, and then his parents would visit parents of girl and ask for hand.
  A girl would get married whether she likes it or not as long as her parents like the boy's family. 
  But in recent years, a girl and a boy start dating before and fall in love, then boy’s family will meet the girl’s and ask for her hand, when the two families agree, a fee called “Lobola” will paid out by a boy’s family and they will get married in a Sesotho wedding. 
  On the day a girl gets married, her parents ask her to buy new things with which she will start her married life, for example, blankets, buckets, a broom, and many more.",,
18:51-19:28,"Ho ba Mosotho ho bolela ntho e kholo ho `na.
  Ke rata Bosotho baka. Ke rata moetlo oa Basotho. 
  Ke rata tsela eo Basotho ba phelang ka eona. 
  Re na le naha ea rona e ntle haholo,e nang le tlholeho e ntle,e khabileng ka lithaba. Batho ke batho ba hlomphanang haholo. 
  
  
  Hape re naha ea Khotso,e ratang Khotso,e phelang ka Khotso. 
  Basotho ke batho ba nang le lerato haholo bathong ba bang.","Being Mosotho means a lot to me. 
  
  I love my Bosotho. 
  I love Basotho culture.
  
  I like the way the Basotho live. We have our very beautiful country, with beautiful nature, decorated with mountains (mountain kindom in the sky). People are very respectful of each other. 
  We are also a country of Peace, that loves Peace, that lives in Peace. 
  
  Basotho are very loving people.",,
20:32-21:06,"Ntho eo ke ratang haholo ka bottle ba Lesotho ke lithaba tsa teng. 
  Moea oa teng o pholile ha monate. 
  Haholo ke rata moea oaka lithabeng kaha o pholile ha monate hofeta oa litoropong. 
  Ke rata ho phela ka lithabeng ho feta litoropong, hobane bophelo ba teng bo monate. 
  Ke rata le lijo tse jeoang ka lithabeng hofeta tsa litoropong,hobane ke lijo tsa naheng,le tseo re itlhaselitseng tsona. 
  Ke rata bophelo ba ka lithabeng hobane re palama lipere,re sesa linokeng,re ea patsing,bopheloba teng bo bobebe.","What I love most about Lesotho are the mountains. 
  The air is pleasantly cool.
  I especially like the air in the mountains as it is much cooler than in the cities. 
  I like living in the mountains more than in the cities, because the life there is good. 
  I also like the food eaten in the mountains than in the cities, because it is the food of the country, and that we have attacked ourselves. 
  I love my life in the mountains because we ride horses, swim in the rivers, go to the forest, it's light",,
0:05 - 0:11,Lebitso la ka ke ‘Mapitso Lepheana,My name is ‘Mapitso Lepheana,,
0:13 - 0:39,"Sekolo seo ke rutang ho sona ke Seroeng Primary School. Se lipakeng tsa, se Seterkekeng sa Maseru lipakeng tsa Roma le Ramabanta. Ke sekolo se fumanehang lithabeng tsa Lesotho, haholoholo Thabana-li-‘mele.","The school I teach at is Seroeng Primary School. It is in the district of Maseru, between Roma and Ramabanta. It is the school that is found in the mountains of Lesotho especially Thabana-li-‘mele. (I teach at Seroeng Primary School, the mountain school found in the Maseru district between Roma and Ramabanta)",,
0:41 - 0:48,"Ke tichere, ke tichere sekolong sa Seroeng",I am a teacher at Seroeng Primary School.,,
0:50 - 0:53,Ke ruta Sehlopha sa bone.,I teach Grade 4,,
0:55 - 1:51,"Lesotho mona re hloka Science Labs le Computer Labs, sebakeng sa ho ntlafatsa bana ka thuto le litsebo tseo ba se nang tsona. Re ka thaba ha ‘muso oa Lesotho o ka re thusa ra fumana Science Labs le Computer Labs.","Here in Lesotho, we need Science Labs and Computer Labs to improve on students’ education and knowledge they need to have. We could be happy if the Lesotho government could furnish schools with Science and Computer Labs.",,
1:54 - 3:05,"Well, thuto ea Lesotho ha ea lekana. E batla lintho tse ngata. Mohlala: lithusa-thuto ka lihlopheng ha li eo. So bana ba fumana karolo e fokolang ha ba rutoa ka lintho tseo ba sa li boneng le ho li ts’oara. Science Lab le computer Lab li ka re thusa hore bana ba Basotho le matichere ho ruta le ho etsa lintho ho be bonolo, ‘me thuto ea Lesotho e ka ntlafala, ha Ministry of Education o ka re thusa hore lintho tseo re li hlokang li be teng le teaching materials and teaching aids.","Well, the Lesotho Education system is not enough. It needs a lot of things. For example, teaching aids are not there in classrooms, so students get only a certain portion as they learn about things they cannot see or touch. Science Labs and Computer Labs can help both teachers’ teaching and students’ learning to become easy, and that can improve the Lesotho Education system only if the Ministry of Education can provide schools with teaching aids and learning aids. (The Lesotho Education system is not enough to help students learn. Schools needs learning and teaching aids such as Science, Computer labs and other teaching and learning materials to enhance education. It becomes difficult for students to learn abstract material that they cannot see or touch. With Science and Computer labs and other learning/teaching aids, it would be easier to bring home things and enhance students’ education. Ministry of Education is urged to equip schools with all they needs in order to improve schools education.)",,
3:08 - 3:45,"Ke lakatsa bana ba sekolo especially bao ke ba rutang ha ba ka nka lekala la mosebetsi oa matsoho, ‘me ba ntlafatsa litsebo tsa bona hobane mosebetsi kahara naha ea Lesotho ha o eo, emp aba ka sebelisa matsoho a bona le likelello tsa bona hore ba sebetse bap hele.","I wish students, especially the ones that I teach could take entrepreneurship as their career to sharpen their knowledge and skills so that they could earn their living. This would help them become self-employed as there is so much lack of employment in Lesotho.",,
3:46 - 3:48,"Yes, I am good","Yes, I am good",,
3:49 - 4:38,Ke lakatsa ho u mema hore u ee sekolong sa haeso hobane ke sekolo se fumanehang lithabeng ‘m’e se sekolo se khahlisang mahlo le hore u tlo re khothaletsa ho etsa liphetoho tse ka bang teng sebakeng sa seno ho ntlafatsa bophelo ba community e phelang moo.,I wish to invite you to visit our beautiful school that is found in the mountain areas of Lesotho. I wish you could help us with life skills and positive changes that could develop the lives of community that lives here.,,
00:00 - 00:23,"Lebitso laka ke Mme Masetho Letsie.

Ke lula Semonkong Ha-Lepae.","My name is Mme Masetho Letsie.

I live in Semonkong Ha-Lepae.",,
00:24 -00:40,"Kea its’ebetsa

Katsela eaho hlalosetsa bahahlaoli ka likobo tsa Lesotho, hobane likobo ke karolo ea bochaba ba rona.","I am self employed

my job is to teach tourists about different basotho blankets, because blankets are part of our culture.",,
00:57 - 01:34,"Hobohlokoa ho ruta ka bocha ba rona ho bane, re sechaba seileng hahoa ke morena Moshoeshoe.

Hore rebe chabana sa khomo

rebe ntsoeleng

Re ratane

Joale bana ba lokela ho tseba ka sesotho

Balokela ho tseba ka bochaba.

Emong le emong olokela hotseba moo atsoang teng, hobane re linboko tse ngata tse fapaneng.

A itsebe na ke Motloung, kapa ke Mophuthing kapa ke Mokoena.","It is important to teach about our culture because, we are a nation built by king Moshoeshoe.

So that we can continue being “a nation of a cow”

To have one voice

To love one another

Now the children should know about Sesotho

Must know about nationality.

Each and every one of them needs to know where they come from, because we have many different clans.

They must know whether he/she is a Motloung (clan represented by Elephants), or a Mophuthing (clan represented by a deer) or a Mokoena (clan represented by crocodiles).",,
01:46 - 02:08,"Ke hoba thuto eaka jena, hae sale ea lebollo. Ese ele thuto e eang linaheng tse fapaneng.

Joale hore na ngoana oea naheng efeng kapa efeng, aba tseba bochaba bahae, a borate, a bo boulele botle botsebe ho hola.","Because education this days is longer from the initiation schools. It is now education from different countries.

Now, no matter what country the child goes to, he should know his country's culture, love it, and be proud of it so it can grow.",,
02:57 -03:26,"Eka qala mareneng, ea ea ho macounselara, etle tsebe ho fihlella mmusong hobane re phela nakong ea lipolotiki joale lipolotiki lina leho senya bochaba ba rona. Hobane hose ukoisisane ka maikutlo ho etsa hore le bana ba hole basa rate bochaba, empa haho qala mareneng le babusi ba naha ena eka anela ba ukoisisa hore bachaba habo amane le eng kapa eng.","Let's start with the chiefs (teaching about our culture), go to the councilors, so that it can reach the government because we are living in a political era and politics is destroying our culture. Because difference in opinion ends up making children grow hating their culture. The kings and rulers of this country should be the first ones to appreciate the culture and understand that it is not influenced by anything.",,
03:49 - 04:36,"Mehleng ea rona lilemong tsabo 1960s/1970s harene re tlotlisa mokete oa bochaba, oa tsoalo ea motlotlehi Moshoeshoe oa pele.

Eba bana ba sekolo baba le lipapali, baba le lithlolisano ka lipapali tsa sesotho tsa bochaba.

Hobale mokhibo

Hobale le ntlamu

Hobale mohobelo

Hobale motontonyane

Hobale lipapali tsona tsa sesotho ele ho tlotlisa tsoalo eahae ka eona.

Hobe hobe le tsela enngoe eeo bana bane ba hlophuoa ka eona ba apara phahlo tsa bona tsa sekolo ba tso’ana kaofela jaole ebe ba bina pina ea Moshoeshoe. Bana macha ba bonts’a hore ba thabetse letsatsi hoba ba mono mo bateng ka lebaka la morena Moshoeshoe.","In our time in the 1960s/1970s we would celebrate the cultural day, which was the birth of king Moshoeshoe the first.

School children play games, they would compete with cultural Basotho games.

They would do “Mokhibo”

They would do “Ndlamu”

They would “Mohobelo”

They would do “Motontonyane”

The games done to honor is his birth.

There is another way in which the children are organized, they put on their school uniforms, they all dress the same way and sing the Moshoeshoe song. The young children march to show they are happy for the day of the birth of king Moshoeshoe.",,
05:42 - 07:04,"Lebitso la waterfall ke Mmaletsunyane falls

Lentsoe Mmaletsunyane letsoa ho hooela hoa metsi. metsi haa oela a bapisoa leha lemina le oena lere tsuu nkong ha motho a tsoroe ke sefuba.

At the same time they call the place of semonko be there is always smoke because of the waterfalls

We call it the place of smoke because ha motho a tsuba, mosi o kena ka hare empa otsoa ka linko.","The name of the waterfall is Mmaletsunyane falls

The name Mmaletsunyane is derived for the sound that water makes as it falls from the height of the fall (tsuuu!) hence Mmaletsunynane. 

At the same time they call Semonkong a place of Smog because there is always smog/fog due to the water of the waterfalls and cold weather

We call it the place of smoke because ha motho a tsuba, mosi o kena ka hare empa otsoa ka linko.",,
09:54 -11:56,"Respect is one of them, it should be from their home.

If the child is being taught how to respect the young and older people, that can help a teacher to let the kids know their culture and love it. Because you can't learn something you hate. They have to love their culture first and they have to be taught how their culture works. Especially on our outfit. 

When celebrating king Moshoeshoe’s day, they all dress in basotho attire and that will help the children to love it.

The schools have to compete, Like it happened in the previous time.

In primary school we were celebrating Moshoeshoe`s day by gathering our grand-parents` clothes,like blankets,brace-lates,or what ever you got at home.","Respect is one of them, it should be from their home.

If the child is being taught how to respect the young and older people, that can help a teacher to let the kids know their culture and love it. Because you can't learn something you hate. They have to love their culture first and they have to be taught how their culture works. Especially our outfit. 

When celebrating king Moshoeshoe’s day, they all dress in basotho attire and that will help the children to love it.

The schools have to compete, Like it happened in the previous time.

In primary school we were celebrating Moshoeshoe`s day by gathering our grand-parents` clothes, like blankets, brace-lates, or what ever you got at home.",,
11:58-13:40,"Hona le batho ba sebetsanang le ho bokella litaba tsa bochaba ba Basotho,e ka sitana le mekete ea morena Moshoeshoe ele ho re le batho kapa bana ba ntse ba hola ba tle ba tsebe ka nalane ea morena Moshoeshoe.","There people who have a job of collecting history of King Moshoeshoe to keep it, so that people may learn about it over the years and even young children will be able to learn about as well.",,
17:42-18:30,"Solarspell can make things easier for students as they can use internet for reading and searching for yhings they don’t know.Solarspell can even improve their learning and their pass rate.

This can also help if solarspell can be connected through their phone,students can do school work even when they are at school.","Solarspell can make things easier for students as they can use internet for reading and doing research of things they do not know. Solarspell can even improve their learning and their pass rate.

This can also help if solarspell can be connected through their phone, students can do school work even when they are at school.",,
19:58-22:28,"I think ministry of education have starded free primary education and what they have to do is to improve it because now its becoming poor as they just sent kids to school yet when the sylabus change they don’t change the materials.

If education department can also give parents some materials so that they can help kids at home,this can make life more easier for both of us.

We should also work hand in hand to build the future of the kids.

Also its important if parents can be involved in their kid`s education by helping them with school work and make sure that their kis attend school properly.","I think ministry of education have started free primary education and now what they have to do is to improve it because now its becoming poor as they just sent kids to school yet when the syllabus change they don’t change the materials.

If education department can also give parents some materials so that they can help kids at home, this can make life more easier for both of us.

We should also work hand in hand to build the future of the kids.

Also its important if parents can be involved in their kid’s education by helping them with school work and make sure that their kids attend school properly.",,
24:46-26:40,"Basotho care about their culture.

They even care about each other,thats why they always great each every where they are,this is a simbol of peace.

Again Basotho are christian nation who love and fear God.

This comes from Moshoeshoe after the visiting of the missionaries in Lesotho.","Basotho care about their culture.

They even care about each other, that’s why they always greet each every where they are, this is a symbol of peace.

Again Basotho are christian nation who love and fear God.

This comes from King Moshoeshoe after missionaries came to Lesotho.",,
00:50-02:50,"My son ntate Setho and his wife are well qualified teachers but they didn’t get a job for teaching.

Its about firth years now they are not working.

They said that there are no grants at school yet there are more graduates in Lesotho.

They don’t even know when they are going to get a jo of their qualifications.","My son's Mr Setho and his wife are well qualified teachers but they didn't get a job for teaching.

Its about five years now they are not working.

They said that there are no grants at school because there are more graduates in Lesotho.

They don't even know when they are going to get a job of their qualifications.",,
03:10-03:47,"Lesotho mehleng ea pele ho ne ho sena likolo tsa machaba,ho ne ho ena le sekolo sa Basotho e leng lebollo,moo ho neng ho rutoa basali le banna ho ts`oara le ho holisa malapa a bona.

Kapa masole a sebele ho ithuta mosebetsi oa matsoho le ho loana ntoeng.","In Lesotho in the early days, there were no international schools, there was a Basotho school called initiation school, where women and men were taught to hold and raise their families.

Or real soldiers to learn the craft and fight in the war.",,
03:49-04:08,"Empa ka mora hore ho fihle baruti Lesotho ho ile hoa ntlafatsa thuto e neng e le teng ka hara naha ea rona.

Hoa ntlafatsa hape boithuto ka mokhoa oa ho bala le ho ngola.","But after the arrival of the priests in Lesotho, the education in our country improved.

It also improved literacy in terms reading and writing.",,
04:10-06:09,"Khotso ho nna e bolela litaba tse ngata,hobane re hotse re bolelloa hore khotso ke khaitseli ea Moshoeshoe oa pele.

Morena Moshoeshoe o ile a sebetsa ka thata ho bopa khotso ka hara naha ea Lesotho ka hore le ha re sitelane re ts`oarelane,re bope khotso,re phele ka khotso.

Re phele ka khotso le batho ba bang,moo re phelang teng.

Re phele ka khotso le batho bao re sa pheleng le bona.

Lesotho le bope khotso le linaha tse ling,e le ho sebelisana `moho.

Re be ntho e le ngoe re le sechaba sa hae.","Peace to me means many things, because we grew up being told that peace is the sister of the first King.

King Moshoeshoe worked hard to create peace in the country of Lesotho so that even when we are wrong we should forgive each other, create peace, live in peace.

Let's live in peace with other people, where we live.

Let's live in peace with people we don't live with.

Let Lesotho create peace with other countries, in order to cooperate.

Let us be one as his people.",,
06:16-06:54,"Bosotho ke boleng ba rona re le Basotho.

Motho e mong le e mong ea phelang Lesotho ho sa tsotellehe na o tsoa sebakeng kapa naheng e feng ha fela a phela kapa a ahile mona ke Mosotho.

Re rutuoe hore re ntho e le ngoe,re chabana sa Moshoeshoe.

Re lula Lesotho.

Re phela Lesotho.

Re buoa sesotho.","Bosotho (being mosotho) is our quality as Basotho.

Every person who lives in Lesotho regardless of where they come from or what country they live in is a Mosotho.

We have been taught that we are one thing, we are the same as Moshoeshoe.

We live in Lesotho.

We live in Lesotho.

We are operating in English.",,
07:10-08:14,"Lelapa ke `na le molekane oaka,le bana ba rona,le bana ba bo,le bana beso.

Le batsoali ba rona ka bobeli.","The family is me and my partner, and our children, and their children, and my siblings.

And both our parents.",,
08:53-10:00,"Malapa a tlameha ho thusana,re ratana.

Lelapa le tlameha ho ba teng ka linako tsohle ho ba bang,ha hona le mathata kapa menate.","Families must help each other, we love each other.

The family must always be there for each other, no matter the problems or the joys.",,
11:11-12:42,"Ke lula ke rapella bana baka le litloholo tsaka hore ntate Molimo a bathuse ba pase sekolong,ba be le bophelo bo botle,le bokamoso bo botle.

Ke tla lula ke le teng maphelong a bona ka linako tsohle.

Ke ba thusa moo ba hlokang thuso teng.","I always pray for my children and my grandchildren that God help them pass school, have a good life, and a good future.

I will always be there in their lives.

I help them where they need help.",,
12:50-13:55,"Ke rata ho etsa li lotho le setloholo saka.

Le ho mothusa ka mesebetsi ea sekolo.

Ke rata le ho bapala le ena.

Ke rata hape ho etsa mesebetsi e meng le ena hore a tle a tsebe lintho a sa hola.","I like to do riddles with my grandson.

And helping him with school work.

I also like to play with this one.

I also like to do other activities so that he can learn things before he grows up.",,
15:15-16:30,"I always pray every day.

I pray for good health.

I pray not to suffer,because I grew up suffering,i grew up in a very difficult times.

I pray for our daily bread.

I am praying for surviving.

I am praying for understanding.","I always pray every day.

I pray for good health.

I pray not to suffer, because I grew up suffering, I grew up in a very difficult time.

I pray for our daily bread.

I am praying for survival.

I am praying for understanding.",,
20:34-22:05,"Re na le lilotho le maele le maelana a Sesotho.

Ke puo e neng e sebelisoa ke Basotho mehleng ea khale.

Puo ena ea maele le maelana e ne e its`etlehile holima liphoofolo tseo ba neng ba ena le tsona.

Le lipina ba ne ba na le tse bopuoeng ka maele le maelana a sesotho.

Hape Basotho ba ne ba sebelisa makoko a liphoofolo e le likobo kapa moo ba robalang teng.","We have riddles and proverbs and sayings in Sesotho.

It is the language used by the Basotho in ancient times.

This language of proverbs and sayings was based on the animals they had.

Even the songs were composed of Sesotho proverbs and sayings.

The Basotho also used animal hide as blankets or as their bed.",,
22:06-30:21,"Hape Basotho bana le lilotho tseo e leng tsa bona sesothong.

Mohlala; Phutse la mohlaka o moholo, lephutse is the pumpkin, and the answer is the moon.

Another one is; A kolokile matebele a hopotse nkong ea khomo lekhalong, Matebele a kolokileng; the Ndebeles are making a line, they are missing on the nose of the cow.Those Madebele are the poles of electricity.

Phate tse peli tse lekanang; hoboleloa hore leholimo le lefats`e lia lekana.

Ha e ja Fako e ja Moeketsi, it means Fako and Moeketsi are the two neighboring villages, and if something is happening there, like somebody make the fire lightening try to burn the village, this neighboring village is going to burn. So what ever war is taking place in this villages they are going to be affected.

Like as busy as a bee, the bee is always busy, you are busy like a bee.

The early birds catches the worms, that’s why I am waking early, my mom always taught me to wake up early. As a person you need to be ready for everything. We need to wake up early and go to work so that you can catch the worms.","Basotho people have their own riddles.



What is a pumpkin of a great lake(the sky)? Answer is the moon. 



Another one is: what is Ndebeles (a tribe) walking in a line, longing for Nkong ea Khomo Lekhalong(a place)? The answer is poles of electricity.





What are the two equal beds? The answer is the sky and the earth


When its affects Fako, it also affects Moeketsi. This means that, for example if there are two neighboring villages, when something happens in one of them, it will also affect the other. One example could be the fire, both villages will burn.",,
30:23-31:07,"Re na le litumelo tse fapaneng.

Mohlala;ha leoatle le bapala re na le tumelo ea hore pula e tlona.

Hape ha e ba ho na le lefu 
motseng,mofu o isoa mabitleng ha mamorao ha letsatsi le se le le holimo,sena se etsoa hobane hothoe ha setopo se ka isoa mabitleng mots`eare sefako se tlana.","We have different beliefs.

For example, when the sea is playing we have faith that it will rain.

And when there is death
In the village, the deceased is taken to the cemetery in the evening when the sun is high, this is done because it is said that if the body is taken to the cemetery during the day, hail will come.",,
31:45-32:50,"Khale ha re ntse re hola re ne re sa je mahe,lebese,le lijo tse ling tse kang likahare.

Sena Basotho ba ne ba se etsa e le ho re qobisa ho etsa thobalano pele ho lenyalo,kaha hothoe lijo tseo li na le lihaha `mele tse ngata tse ka khannelang bana thobalanong.","In the past when we were growing up we didn't eat eggs, milk, and other foods like vegetables.

The Basotho used to do this in order to prevent us from having sex before marriage, as it is said that those foods have many nutrients that can drive children to have sex.",,
33:50-35:09,"E ngoe ea lintho tseo bana ba Basotho ba neng ba sa lietse e ne e le ho ema monyako nako e telele.

Ho bana ba bana hothoe o ne a tlaea matsatsing nako e telele.

Ho bana ba bashanyana ho thoe ba ne ba ke ke ba ba le bana.

Le bakhachane ba ne ba sa lokela ho noa metsi ba eme hobane hothoe goana o ne a tla hlaha a kula kapa e le sehole.","One of the things that the Basotho children did not do was to wait at the door for a long time.

For children, it is said that she used to menstruate for a long time.

For male children it is said that they would not have children.

Even pregnant women were not supposed to drink water while standing because it was said that she would give birth sick or far away.",,
36:07-36:59,"E ngoe eo Basotho ba neng ba e hlompha ke meetlo ea bona.

Ba ne ba hlompha meetlo hobane ha motho a ne a sa etse meetlo ka nepo ho ne ho ba le mathata.

Mohlala;ha motho e le mokhachane ha a ne a sa sebelise meetlo ea habo ka nepo e ne e ba ngoana o tlo hlaha e le sehole kapa a e na le mathata a itseng.","Another thing that the Basotho respected was their traditions.

They respected the customs because if a person did not do the customs properly, there would be problems.

For example; if pregnant woman do not follow the tradition properly then the child would have disabilities or other problems in life.",,
37:00-37:35,"To tell one message to everybody world wide is to love your on culture because its your roots, which will live from you to young generation for ever and ever.","To tell one message to everybody world wide is to love your own culture because its your roots, which will live from old to young generation for ever and ever.",,
37:40-38:30,"One message to abuti Sello is to respect adults and behave well.

Again love his culture,love his parents.

Listen to adults but no only his parents but also other people out side.

Take what is good from people who taught him.","One message to abuti Sello is to respect adults and behave well.

Again love his culture, love his parents.

Listen to adults but no only his parents but also other people out side.

Take what is good from people who taught him.",,
38:37-39:17,"I would like all the teachers world wide to love their job because it is very important to the nation.

Teaching profertion is the mother of all profersions so they have to love it.

All the profersions are from the teacher,so they have to love their job.","I would like all the teachers world wide to love their job because it is very important to the nation.

Teaching profession is the mother of all professions so they have to love it.

All the professions are from the teacher, so they have to love their job.",,
00:00-00:19,Lebitso laka ke `Mamats`eliso Ranthako.,My name is MamatS`eliso Ranthako.,,
00:20-00:27,Ke mosuoe hlooho sekolong sa mathomo sa Serooeng Primary School.,I am the head master at Serooeng Primary School.,,
00:43- 00:55,"Ke mona hobane ke mosebetsing, ke sebetsa mona ho tloha mantaha ho fihlela labohlano.","I'm here because its my work place, I work here from Monday to Friday.",,
