Start Time,End Time,EN,ES,Highlight,Comments
00:04:02:09,00:04:05:02,the communities once they have the threads that we,las comunidades una vez tengan los hilos que nosotros,,
00:04:05:02,00:04:08:02,"We give to them, they make a product with that thread.","les entregamos, ellos con ese hilo hacen un producto.",,
00:04:09:08,00:04:10:22,This is how we are focusing,Esto como estamos enfocándonos,,
00:04:10:22,00:04:13:22,in backpacks and accessories.,en las mochilas y en los accesorios.,,
00:04:13:22,00:04:17:13,"They make backpacks, for example, and","Ellos hacen mochilas, por ejemplo, y nosotros",,
00:04:17:13,00:04:20:13,seeing that it is necessary to generate,viendo que es necesario generar,,
00:04:21:07,00:04:25:11,a store where the results,una tienda donde todo el fruto,,
00:04:25:11,00:04:26:09,of this exchange and this,de ese intercambio y de,,
00:04:26:09,00:04:30:18,barter we’re doing can be exposed: as well as,"este trueque que hacemos pueda ser expuesto y darle también,",,
00:04:31:05,00:04:33:19,ensuring that this craftsman who made the product,garantizarle que este artesano que haya hecho el producto,,
00:04:33:19,00:04:35:13,receives a fair payment.,tenga un pago justo.,,
00:04:35:13,00:04:36:12,Because here in La Güajira,Porque acá en La Guajira,,
00:04:36:12,00:04:39:19,"That is also another problem that artisans do not get paid well,","ese es otro problema también que a los artesanos no les pagan bien,",,
00:04:40:07,00:04:43:07,So the middleman always wins.,entonces siempre resulta ganando el intermediario.,,
00:04:43:09,00:04:45:22,That's why we have a store where it is sold exclusively,Por eso tenemos una tienda donde se vende exclusivamente,,
00:04:45:22,00:04:48:14,everything that is the result of that exchange,todo lo que sea fruto de ese intercambio,,
00:04:49:13,00:04:50:22,and so,y así,,
00:04:50:22,00:04:53:02,from the sale of a product,a partir de la venta de un producto,,
00:04:53:02,00:04:54:20,"like the case of a backpack,","como el caso de una mochila,",,
00:04:54:20,00:05:01:01,a backpack gives us money to buy new,una mochila nos da dinero para comprar nuevos,,
00:05:01:01,00:05:04:13,"threads, new bags to work with communities","hilos, nuevas bolsas para trabajar con las comunidades",,
00:05:05:02,00:05:08:02,"and so from a product it is what gives us,","y así a partir de un producto es que nos da,",,
00:05:09:02,00:05:11:19,It gives us money to fuel the entire process.,nos da dinero para alimentar todo el proceso.,,
00:05:11:19,00:05:15:06,"So the buyers, the people who","Así los compradores, las personas que",,
00:05:16:01,00:05:19:01,who find that product,que encuentran ese producto,,
00:05:19:14,00:05:22:22,we give you the opportunity wherever you are in the cities,le damos la oportunidad de donde esté en las ciudades,,
00:05:23:08,00:05:26:05,that they can contribute something,de que puedan aportar algo,,
00:05:26:05,00:05:30:05,in the end to the health of the planet.,al final a la salud del planeta.,,
00:05:30:22,00:05:33:22,"If a person buys a product from us, from that","Si una persona nos compra un producto, a partir de eso",,
00:05:34:01,00:05:36:20,They are contributing to the environment.,ellos están aportando al medio ambiente.,,
00:05:36:20,00:05:37:09,In this case,En este caso,,
00:05:37:09,00:05:38:14,"to this part of Colombia,","a esta parte de Colombia,",,
00:05:38:14,00:05:41:03,trying to reduce pollution,tratando de reducir la contaminación que hay,,
00:05:41:03,00:05:44:16,and at the same time also generate that awareness about,y a la vez también generar esa conciencia acerca de,,
00:05:45:10,00:05:50:05,"of the crafts of indigenous groups, which do not","de la artesanía de los grupos indígenas, que no",,
00:05:52:17,00:05:54:16,It's just an element,"es solamente un elemento,",,
00:05:54:16,00:05:56:07,but behind a craft,sino que detrás de una artesanía,,
00:05:56:07,00:05:57:22,There really is a story.,realmente hay una historia.,,
00:05:57:22,00:06:00:22,There was what I told you just now about Wale’kerü,Estaba lo que les conté ahorita sobre Wale’kerü,,
00:06:01:12,00:06:03:21,and about how important this is,y sobre lo importante que es esto,,
00:06:03:21,00:06:07:07,"and about how in a craft there is a configuration,","y sobre cómo en una artesanía hay una configuración,",,
00:06:07:23,00:06:09:22,"there is ancestral knowledge,","hay un saber ancestral,",,
00:06:09:22,00:06:13:04,"then also generating that awareness for the buyer,","entonces también generando esa conciencia al comprador,",,
00:06:13:08,00:06:16:18,"to the person to tell them not to buy just because it’s trendy,","a la persona de decirle no compren por tendencia,",,
00:06:17:02,00:06:20:06,"do not buy to consume,","no compren por consumir,",,
00:06:20:10,00:06:21:08,what is,que es,,
00:06:21:08,00:06:23:09,"the last thing we do now we just for consumption,","lo último que hacemos ahora solo compramos,",,
00:06:23:09,00:06:26:23,"No, buy out of conscience that where I buy","No, compren por conciencia que a donde yo compre",,
00:06:27:11,00:06:29:10,"from this that I am generating,","a partir de esto que estoy generando,",,
00:06:29:10,00:06:31:08,What impact am I generating?,que impacto estoy generando.,,
00:06:31:08,00:06:34:07,"So this product is very nice,","Entonces este producto es muy bonito,",,
00:06:34:13,00:06:38:05,is being done in rural areas Manaure and,se está haciendo en las zonas rurales Manaure y,,
00:06:38:05,00:06:41:14,La Guajira and here where we are,la Guajira y acá donde estamos,,
00:06:43:02,00:06:45:00,where,donde,,
00:06:45:00,00:06:48:00,as I was saying here now,como le decía ahorita acá,,
00:06:48:14,00:06:50:05,"it's an idea,","es una idea,",,
00:06:51:08,00:06:52:18,they don't even come in here,acá ni siquiera entran,,
00:06:52:18,00:06:55:18,political entities or entities,las entidades políticas o las entidades,,
00:06:56:23,00:06:58:13,who have responsibilities to look,que tienen responsabilidades de mirar,,
00:06:58:13,00:07:00:14,How the communities are,cómo están las comunidades.,,
00:07:00:14,00:07:02:12,So we are making a very cool impact.,Entonces estamos haciendo un impacto muy chévere,,
00:07:02:12,00:07:04:05,"and we hope that this work, which","y esperamos que este trabajo, que",,
00:07:04:05,00:07:07:05,"This idea can be replicated in other contexts,","esta idea se pueda replicar en otros contextos,",,
00:07:07:12,00:07:09:20,"not only in our Wayuu culture,","no solamente en nuestra cultura Wayuu,",,
00:07:09:20,00:07:13:02,"but also in other brothers and indigenous people,","sino también en otros hermanos e indígenas,",,
00:07:13:02,00:07:16:01,can somehow replicate this idea.,puedan de alguna manera replicar esta idea.,,
00:07:16:04,00:07:18:12,And we hope to continue growing.,Y esperamos seguir creciendo.,,
00:07:18:12,00:07:21:05,"We hope to help more Wayuu families,","Esperamos ayudar a más familias Wayuu,",,
00:07:21:05,00:07:24:05,We hope to help more communities through this.,esperamos ayudar a más comunidades mediante esto,,
00:07:24:09,00:07:26:22,"and in the medium term,","y a mediano plazo,",,
00:07:26:22,00:07:28:01,"or well, the end,","o bueno, el fin,",,
00:07:28:01,00:07:31:21,The goal of all this is also to one day say,el objetivo de todo esto también es algún día decir,,
00:07:31:21,00:07:32:14,"see, look,","vean, mira,",,
00:07:32:14,00:07:34:02,we contributed a bit,aportamos un granito,,
00:07:34:02,00:07:37:02,to the reduction of pollution in La Güajira.,a la reducción de contaminación en La Guajira.,,
00:07:37:02,00:07:40:17,That is our dream through that project.,Eso es nuestro sueño mediante ese proyecto.,,
00:07:41:12,00:07:43:12,"And so well,","Y así que bueno,",,
00:07:43:12,00:07:45:13,thanks,agradecer,,
00:07:45:13,00:07:48:13,for making us a little bit visible,por visibilizarnos un poco,,
00:07:50:07,00:07:54:17,"and well, to continue fighting in these processes,","y bueno, a seguir luchando en estos procesos,",,
00:07:55:19,00:07:57:11,in this case in La Güajira.,en este caso en La Guajira.,,
00:07:57:11,00:08:00:06,And what is the name of the project store?,¿Y cómo se llama la tienda del proyecto?,,
00:08:00:06,00:08:01:10,we have the store,Tenemos la tienda,,
00:08:01:10,00:08:04:19,"“Ishotot nos une” (ishototnosune username) that Ishotot has the word Isho,","Ishototnosune que Ishotot tiene la palabra Isho,",,
00:08:05:09,00:08:06:14,"which is blood,","que es sangre,",,
00:08:06:14,00:08:10:09,then color of blood or blood unites us really,entonces color de sangre o la sangre nos une realmente,,
00:08:11:01,00:08:11:07,that is,que eso es,,
00:08:11:07,00:08:13:00,Such that,como que,,
00:08:13:00,00:08:14:23,"a store created in the community,","una tienda creada en la comunidad,",,
00:08:14:23,00:08:16:14,We don't have an establishment yet.,todavía no tenemos un establecimiento,,
00:08:16:14,00:08:18:05,"physical, everything is virtual,","físico, todo es virtual,",,
00:08:18:05,00:08:21:05,You can find us on different social networks,nos pueden encontrar en las diferentes redes sociales,,
00:08:21:09,00:08:24:09,and we are there as Ishotot nos une and as Hilos por Mma.,y estamos ahí como Ishototnosune y como hilos por Mma.,,
00:08:24:09,00:08:27:17,These two sources can reach us.,Esas dos fuentes nos pueden llegar hasta nosotros.,,
00:08:28:16,00:08:31:16,Cool and how to summarize,Chévere y pues como resumir,,
00:08:32:03,00:08:35:04,the project in like a sentence of,el proyecto en como una oración de,,
00:08:36:01,00:08:39:14,"as quickly as a summary of everything,","como rápido como de un resumen de todo,",,
00:08:40:10,00:08:43:10,of the project idea.,de la idea del proyecto.,,
00:08:45:05,00:08:48:05,"Of course, yes.","Claro, si.",,
00:08:49:09,00:08:52:21,From the purchase of a product,A partir de la compra de un producto,,
00:08:55:08,00:08:58:08,"we generate impact,","generamos impactos,",,
00:08:58:23,00:09:00:22,a social impact and an impact…,un impacto social y un impacto…,,
00:09:00:22,00:09:03:05,"two specific impacts,","dos impactos puntuales,",,
00:09:03:05,00:09:05:19,an environmental impact and a social impact.,un impacto ambiental y un impacto social.,,
00:09:05:19,00:09:08:08,"That's why, let's buy",Por eso es compremos,,
00:09:08:08,00:09:10:22,or that the products,o que los productos,,
00:09:10:22,00:09:14:02,that we buy is a product that has a purpose,que compremos sea un producto que tenga un fin,,
00:09:15:10,00:09:18:10,"quite,","bastante,",,
00:09:19:15,00:09:22:15,"pretty good, both for","bastante bueno, tanto para",,
00:09:22:16,00:09:25:16,the artisan as well as for the planet.,el artesano como para el planeta.,,
00:09:26:14,00:09:27:11,Yeah.,Si.,,
00:09:27:11,00:09:31:03,"Yes, do you collect, collect the plastic,","Si, ¿Ustedes recogen, recolectan el plástico,",,
00:09:31:03,00:09:34:03,sell it and buy the thread?,lo venden y compra el hilo?,,
00:09:35:03,00:09:38:03,"Well let's say that the plastic here,","Pues digamos que el plástico acá,",,
00:09:38:06,00:09:41:16,"here in the communities the use of plastic,","acá en las comunidades el uso de plástico,",,
00:09:41:16,00:09:45:14,"here the communities they have them, they reuse them, so like this","acá las comunidades tienen, los rehúsan, entonces así",,
00:09:45:14,00:09:49:22,"for example, the pot, the one with the soda,","por ejemplo, el pote, el de la gaseosa, el refresco",,
00:09:50:15,00:09:51:04,here it,acá lo,,
00:09:51:04,00:09:54:10,"reused to store oil, to store other liquids","reusan para guardar aceite, para guardar otros líquidos",,
00:09:54:19,00:09:57:22,and when this plastic material no longer has,y cuando este material plástico realmente ya no tenga,,
00:09:58:19,00:10:01:19,one last use is that,"un último uso, es que",,
00:10:02:02,00:10:03:16,they are free. No?,quedan libres. ¿No?,,
00:10:03:16,00:10:06:08,"That's why when we collect all that material,","Por eso cuando recogemos todo ese material,",,
00:10:06:08,00:10:09:10,"Most of them are already very very damaged materials,","mayormente son ya materiales muy muy dañados,",,
00:10:10:00,00:10:13:00,"Well, what we have to do is take it directly",pues lo que nos toca es llevarlo directamente,,
00:10:13:07,00:10:15:00,to the sanitation point.,al punto de saneamiento.,,
00:10:15:00,00:10:16:22,"Other materials such as cardboard,","Otros materiales como el cartón,",,
00:10:16:22,00:10:19:22,"That one we do take it to the recycling stores,","ese sí lo llevamos a las tiendas recicladora,",,
00:10:20:12,00:10:23:02,They give it continuity and,ellos le dan una continuidad y,,
00:10:23:02,00:10:26:17,we receive a coin in exchange for carrying that,nosotros recibimos una moneda a cambio de llevar eso,,
00:10:26:17,00:10:30:20,"There, but it is not our forte, really our forte","Allá, pero no es nuestro fuerte, realmente nuestro fuerte",,
00:10:30:20,00:10:32:06,Is the product.,es el producto.,,
00:10:32:06,00:10:33:19,From the purchase of the product,A partir de la compra del producto,,
00:10:33:19,00:10:36:13,"is that it gives us money to buy more threads,","es que nos da dinero para comprar más hilos,",,
00:10:36:13,00:10:38:09,"to buy more bags,","para comprar más bolsas,",,
00:10:38:09,00:10:39:08,because we deliver,porque nosotros entregamos,,
00:10:39:08,00:10:40:20,bags to the communities so that they can,bolsas a las comunidades para que ellos puedan,,
00:10:43:07,00:10:46:01,collect waste. Our strong,recoger los residuos. Nuestro fuerte,,
00:10:46:01,00:10:49:01,It is in the product of craftsmanship.,está en el producto de la artesanía.,,
00:10:49:09,00:10:53:02,"Yes they pay us for the cardboard, for the plastics, but","Si nos pagan por el cartón, por los plásticos, pero no",,
00:10:53:02,00:10:56:02,It's not sufficient payment.,es un pago bastante suficiente.,,
00:10:56:02,00:10:58:14,But we are very happy that with the store,Pero sí nos alegra mucho que estas tiendas,,
00:10:58:14,00:11:01:14,"It gives that continuity, they give it a use.","le dan esa continuidad, le dan un uso a eso.",,
00:11:02:14,00:11:03:14,Yes.,Sí.,,
00:11:03:14,00:11:07:04,"Well, is there anything else you want to tell about knitting or","Y bueno, hay algo más que quieras contar de tejer o",,
00:11:08:09,00:11:10:09,from this site,de este sitio,,
00:11:10:09,00:11:13:09,or what we have seen today.,o de lo que hemos visto hoy.,,
00:11:14:04,00:11:17:04,Something else I could tell,Algo más que podría contar,,
00:11:19:15,00:11:21:14,would it be necessary,sería que es necesario,,
00:11:21:14,00:11:25:07,change the perspective of,cambiar la perspectiva de,,
00:11:25:08,00:11:28:17,how to see communities and how,cómo hay que ver las comunidades y de cómo,,
00:11:28:21,00:11:31:21,futures should be made,deberían hacerse los futuros,,
00:11:32:21,00:11:34:11,projects with communities.,proyectos con las comunidades.,,
00:11:34:11,00:11:37:11,There are many projects,Hay muchos proyectos,,
00:11:38:09,00:11:40:19,"of the government, let's put it this way,","del gobierno digámoslo así,",,
00:11:40:19,00:11:43:08,But mostly those projects fail.,pero mayormente esos proyectos fracasan,,
00:11:43:08,00:11:45:15,because it is not being done or is not working,porque no se está haciendo o no está trabajando,,
00:11:45:15,00:11:48:15,the communities. In this case we with ''Hilos por Mma'',las comunidades. En este caso nosotros con ‘’Hilos por Mma’’,,
00:11:49:17,00:11:52:08,"We saw the need to create that store,","vimos la necesidad de crear esa tienda,",,
00:11:52:08,00:11:55:08,because at the beginning,porque al principio,,
00:11:55:15,00:11:58:08,"the products,","los productos,",,
00:11:58:08,00:12:01:15,The crafts that came out were sold to the local market,"la artesanía que salía, se la vendían al mercado local",,
00:12:02:04,00:12:04:00,and there he did not receive a fair payment.,y ahí no recibía un pago justo.,,
00:12:04:00,00:12:08:12,"So it is always thinking about the entire process, about each thing,","Entonces es siempre pensar en todo el proceso, en cada cosa,",,
00:12:09:18,00:12:12:00,"If I give this, where will it end?","si yo doy esto, ¿dónde va a terminar?",,
