Start Time,End Time,EN,ES,Highlight,Comments,Speaker
04:08,04:12,"that about the symbols, what does that mean in life?",eso de los símbolos qué significa en la vida?,,,pinta abuela
04:13,04:21,"The last question I asked you about the symbols,
You can graph what you want to put","La última pregunta que le hice sobre los símbolos,
Se puede graficar lo que se quiere poner",,,pinta abuela
04:22,04:24,That is,Ese es,,,pinta abuela
04:25,04:27,Makeup has an origin in dreams earlier.,El maquillaje tiene un origen en los sueños anteriormente.,,,pinta abuela
04:28,04:36,"They were made because sometimes they said that they should put that on the girl,
So that she does not get sick or so that the virus that is going to come does not touch her","Se hacían porque a veces decían que deben ponerle eso a la niña,
Para que no se enferme o para que el virus que va a venir no la toque",,,pinta abuela
04:37,04:40,"Because the material it has, red represents blood","Porque el material que tiene, el rojo representa sangre",,,pinta abuela
04:41,04:45,"This was for the spirits so they don’t,","Esto era para los espíritus para que no,",,,pinta abuela
04:46,04:53,"They move away, no? in ancient times I mean, now they are used in celebrations
And for the celebration and things like that","Se alejan no, en la antigüedad pues, ahora se utilizan en festejos
Y para la celebración y cosas así",,,pinta abuela
04:54,04:57,and what is the color made of?,Y ¿de qué está hecho el color?,,,pinta abuela
04:59,05:01,you already asked,Lo preguntaste ya,,,pinta abuela
05:02,05:04,That is a plant that is macerated,Esa es una planta que se macera,,,pinta abuela
05:05,05:07,And that plant has that tone,Y esa planta tiene ese colorcito,,,pinta abuela
05:08,05:10,and where do you get it from?,¿y de donde lo sacan?,,,pinta abuela
05:11,05:16,What they are asking is where does the pali´isa (red chalk) come from ?,Lo que están preguntando es ¿de dónde se saca la  pali´isa (bija roja)?,,,pinta abuela
05:17,05:20,Where do they get it from to obtain that red,De donde lo sacan para tener ese rojo,,,pinta abuela
05:21,05:26,"To obtain it, you search among the mountains",Para obtenerlo se busca entre las montañas,,,pinta abuela
05:27,05:32,"There isn't here because it has a specific area
Around the mountains","Acá no hay porque tiene una zona específica
Por las montañas",,,pinta abuela
05:33,05:41,To prepare it and make it the shape of a bun,Para prepararlo y hacerle la forma de bollo,,,pinta abuela
05:42,05:45,"The one that does it,",La que lo vaya a hacer,,,pinta abuela
05:47,05:54,Has to knead it and shape it to make it look like that,Lo tiene que amasar y darle forma para que quede así,,,pinta abuela
05:56,05:59,This plant has its leaves too,Esta planta tiene sus hojas también,,,pinta abuela
06:02,06:09,"The leaves are used for thirst, it is cooked and drunk.","Las hojas sirven para la sed, se cocina y se bebe.",,,pinta abuela
06:12,06:14,And that pali´isa (red chalk) Is it given to the ladies?,Y esa palisa (bija roja) ¿se les da a las señoritas?,,,pinta abuela
06:15,06:20,"Of course, it is given to the ladies to drink","Claro, se les da a las señoritas de beber",,,pinta abuela
06:21,06:26,So that they are beautiful with a firm body,Para que estén bonitas con el cuerpo firme,,,pinta abuela
06:36,06:45,"After childbirth they are also given and can have
Up to five children, they also drink it then","Después del parto se les da también y pueden tener
Hasta cinco hijos, igual se los toman",,,pinta abuela
06:46,06:53,"The red chalk helps not only the ladies but all of them,
Plans the pregnancy too","La bija roja ayuda no solo a las señoritas sino a todas,
Planifica el embarazo también",,,pinta abuela
07:01,07:03,"with what?, with the leaves of pali´isa","¿con que?, con las hojas de palise",,,pinta abuela
07:11,07:12,you recorded that last one,Grabaste esa última,,,pinta abuela
07:13,07:15,it's good? Very good contribution,¿es bueno? Muy buen aporte,,,pinta abuela
07:16,07:22,"She spoke about the makeup that is used, it is not only for
Makeup for various things.","Habló sobre el maquillaje que se utiliza, no solamente es para
Maquillaje para varias cosas.",,,pinta abuela
07:23,07:29,"And why do only women wear that?
why not men","Y ¿Por qué solo las mujeres se ponen eso?
Porque no los hombres",,,pinta abuela
07:30,07:36,He says why the makeup?,Él dice que ¿Por qué el maquillaje?,,,pinta abuela
07:37,07:42,"Or the figures, can't men wear them ?",O las figuras ¿no se las pueden poner los hombres?,,,pinta abuela
07:43,07:45,It is applied to the one who is going to dance,Se le pone al que vaya a bailar,,,pinta abuela
07:47,07:50,Everyone has their acheepa (makeup) in the yonna,Cada quien tiene su achepa (maquillaje) en la yonna,,,pinta abuela
07:52,08:00,"And when they are on the piyoi (dance floor)
The man shouts jou'se (come!)","Y cuando estén en el piyoi (pista de baile)
El hombre grita jou´se (ven)",,,pinta abuela
08:01,08:04,That's how it's done the dance,Así es como se hace en el baile,,,pinta abuela
08:07,08:12,"Can you repeat what you said about makeup?
of the man","Puedes repetir lo que dijiste sobre el maquillaje
Del hombre",,,pinta abuela
08:13,08:14,"the what?, the acheepa","¿el que?, el achepa",,,pinta abuela
08:15,08:22,"The man is painted when it’s time to dance,
Figures are also put on him as well","Se pinta al hombre al momento de bailar,
Se le pone figuras también",,,pinta abuela
08:30,08:36,"She explained it, she clarified that it is not limited
even women only","Ella habló, ella aclaró que no es limitado
Hasta las mujeres solamente",,,pinta abuela
08:37,08:40,And where do they learn all this from?,¿Y de dónde aprenden todo esto?,,,pinta abuela
08:41,08:49,the question is who teaches this in the community?,la pregunta es ¿quién enseña en la comunidad de esto?,,,pinta abuela
08:50,08:52,How do they learn?,¿Cómo hacen para aprender?,,,pinta abuela
08:53,08:55,the fact that? to learn that,¿el que? para aprender eso,,,pinta abuela
08:56,09:02,"This? Yes, you know that not everyone knows about the acheepa","¿Esto? Si, usted sabe que no todos saben del achepa",,,pinta abuela
09:03,09:11,"I know it because I have the knowledge of the piachi (spiritualist)
I don't know it just for the sake of knowing","Yo se porque tengo los conocimientos de la piachi(espiritista)
No me lo sé solo por saber",,,pinta abuela
09:12,09:20,I can make a person let go of hatred or resentment,Yo puedo hacer que una persona deje el odio o el rencor,,,pinta abuela
09:21,09:23,Because I am a piachi (spiritualist),Porque soy piachi (espiritista),,,pinta abuela
09:27,09:34,"It seemed that you were giving the blessing
To women when she did that","Parecía que le estuviera dando la bendición
A las mujeres cuando le hacia eso",,,pinta abuela
09:35,09:36,if I asked her,Si yo le pregunté,,,pinta abuela
09:37,09:41,"She just made it clear that not everyone
You can do that, which are gifts","Ella acaba de aclarar que no todo el mundo
Puede hacer eso, que son dones",,,pinta abuela
09:42,09:49,"She has the gift of being able to see, what was I telling you right now,
The eye, right? Yeah.","Ella tiene el don de poder ver, que te decía ahorita,
El ojo ¿no? Si.",,,pinta abuela
09:50,09:58,"She can read people, so that's a gift too.
for makeup","Ella puede leer a las personas, entonces ese es un don también
Para el maquillaje",,,pinta abuela
10:01,10:06,"The make-up thing is original
Because now everyone paints","Lo de hacer maquillaje es original
Porque ahora todo el mundo pinta",,,pinta abuela
10:07,10:11,"But mostly they are similar, so which one
is the question you are going to ask","Pero mayormente son similares, entonces cual
es la pregunta que vas a hacer",,,pinta abuela
10:15,10:20,I could say your name and what do you do?,Podría decir su nombre y a que se dedica,,,pinta abuela
10:22,10:24,I'm going to ask the question that you said first,le voy a hacer la pregunta que tú dijiste primero,,,pinta abuela
10:26,10:27,If you bless women as you say,Si bendice a la mujer como tú dices,,,pinta abuela
10:28,10:36,"He asks about the figures
that did you draw on the girls","Él pregunta con respecto a las figuras
que dibujabas en las niñas",,,pinta abuela
10:37,10:44,"You were talking and he asks what was
you told them while you painted them","Estabas hablando y él pregunta qué era lo que
les decías mientras las pintabas",,,pinta abuela
10:45,10:47,"That is, what did you tell them when painting them?","Es decir, al momento de pintarlas ¿qué les decías?",,,pinta abuela
10:48,10:55,"What I said to them at the time of painting them
it was that he was putting the pali´isa to them to dance","Lo que les decía al momento de pintarlas
era que les estaba poniendo la palisa para bailar",,,pinta abuela
10:56,11:01,"I told them that I was putting makeup on them so that
they show the ancestral steps of our yonna","Les decía que las estaba maquillando para que
muestren los pasos ancestrales de nuestra yonna",,,pinta abuela
11:02,11:07,"I also told them that I was putting them makeup on them so
They have fun, to play","También les decía que las maquillaba para que
se diviertan, para que jueguen",,,pinta abuela
11:08,11:09,That's how it is,Así es,,,pinta abuela
11:13,11:15,"Ok, you have answers","Listo, tienes respuestas",,,pinta abuela
11:16,11:18,And what's her name? where is she from?,Y la de ¿cómo es su nombre? ¿de dónde es?,,,pinta abuela
11:29,11:34,"He says say your name where are you from? you stand out
that you are wayúu because they know several ethnic groups","Él dice que digas tu nombre ¿de dónde eres? resaltas
que eres wayúu porque ellos conocen varias etnias",,,pinta abuela
11:35,11:39,"Of course I'm wayuu, I'm not an imitation or something like that","Claro que soy wayuu, yo no soy una imitación o algo así",,,pinta abuela
11:40,11:43,And my name is Catalina Epieyu,Y mi nombre es Catalina Epieyu,,,pinta abuela
11:48,11:49,"A pleasure, thank you very much","Un gusto, muchas gracias",,,pinta abuela
11:55,11:56,Did you get it? Yes Yes.,"¿La captaste? sí, sí.",,,pinta abuela
12:01,12:02,What else? she just said her name and her clan,¿Qué más? ella acaba de decir su nombre y su clan,,,pinta abuela
12:04,12:07,"He just told you about the job right now
with the eye right now","Lo del oficio te lo acaba de decir ahorita
con lo del ojo ahorita",,,pinta abuela
12:08,12:15,"Although that's a lengthy explanation as well,
But I think that she can explain a little
more of that gift I don't know what you think","Aunque eso es una explicación extensa también,
Pero se me ocurre que ella te puede explicar un poco
más de ese don no sé qué te parece",,,pinta abuela
12:16,12:20,"Yes, that and also its connection with nature","Sí, eso y también su conexión con la naturaleza",,,pinta abuela
12:21,12:22,"Ok, there were two questions, right?",Okey fueron dos preguntas ¿no?,,,pinta abuela
12:23,12:28,A while ago you mentioned that you were a piache (spiritualists),Hace un rato mencionaste que eras piache (espiritistas),,,pinta abuela
12:29,12:34,"In our territory, not everyone can be a piache, right? Yeah",En nuestro territorio no cualquiera puede ser piache ¿cierto? Sí,,,pinta abuela
12:35,12:40,How is a piachi formed according to ancient tales?,¿Cómo se forma una piachi según los relatos antiguos?,,,pinta abuela
12:41,12:42,In order to receive the gift?,¿Para qué le llegue el don?,,,pinta abuela
12:43,12:49,"Yes of course.
that is because of a dream, the dream tells you that you are going to have that gift","Sí claro.
eso es por un sueño, el sueño le dice que va a tener ese don",,,pinta abuela
12:51,12:53,start to see beyond,Empieza a ver más allá,,,pinta abuela
12:54,13:01,"If you see a sick girl, your good eye tells you what to do",Si ve a una niña enferma su buen ojo le dice que se debe hacer,,,pinta abuela
13:05,13:12,"He says "" look for a jawapia (medicinal plant) for that girl
so that “the evil eye” she has goes away”","Dice “busca una jawapia  (planta medicinal) a esa niña
para que se le quite ese mal de ojo que tiene”",,,pinta abuela
13:15,13:20,"The same if it is for a confinement or for something else,
this is more or less how the gift works","Igual si es para un encierro o para otra cosa,
así es más o menos cómo funciona el don",,,pinta abuela
13:28,13:29,The thing about the arijunas is something else,Lo de los arijunas es otra cosa,,,pinta abuela
13:35,13:40,"I have heard a tale that says there is a dream for
the spirits to arrive","Yo he escuchado un relato que dice que para
que los espíritus lleguen hay un sueño",,,pinta abuela
13:41,13:45,Someone from Manaure told me that in her dream,Me decía una conocida de Manaure que en el sueño,,,pinta abuela
13:46,13:50,a person came to her when they are ladies,le llega una persona cuando son señoritas,,,pinta abuela
13:51,13:56,What did that dream allow you to have that gift?,¿Qué te permitió ese sueño para que tengas ese don?,,,pinta abuela
13:57,14:03,It allows me to see spirits,Me permite ver espíritus,,,pinta abuela
14:04,14:10,"As the spirit gets closer
I see it well, but when it is very close I stop seeing it","A medida que el espíritu se vaya acercando
lo veo bien, pero, cuando está muy cerca dejo de verlo",,,pinta abuela
14:14,14:22,"The spirits of a spiritualist are in the afterlife
that's why they see everything","Los espíritus de un espiritista están en el más
allá por eso ven todo",,,pinta abuela
14:23,14:29,"Spirits do not wander on Earth like those
of the dead, as that is something very different","Los espíritus no vagan en la tierra como la de
los muertos porque eso es algo muy diferente",,,pinta abuela
14:33,14:37,"Yes it is correct, another question to finish","Sí es correcto, otra pregunta para finalizar",,,pinta abuela
14:38,14:42,"He has just explained to you how the gift is obtained,
Which is through dreams","Acaba de explicarte cómo se obtiene el don,
son a través de los sueños",,,pinta abuela
14:48,14:53,When they are young ladies they have a dream where they see a giant character facing them,Cuando son jovencitas ellos tienen un sueño donde ellas ven a un personaje gigante hacia ellas,,,pinta abuela
14:54,14:57,"But that character does not speak to them, but when
is very close to them they disappear","Pero ese personaje no les habla, sino que cuando
está muy cerca de ellas se desaparecen",,,pinta abuela
14:58,15:04,So that's the spirit with which they walk now,Entonces ese es el espíritu con el que ellas andan ahora,,,pinta abuela
15:08,15:12,"Ok, to end the interview","Bueno, para culminar la entrevista",,,pinta abuela
15:16,15:20,"What he wants to know is regarding the
connection with nature","Lo que es quiere saber es con respecto a la
conexión con la naturaleza",,,pinta abuela
15:27,15:32,Everything we know has a spiritual connotation,Cada cosa sabemos que tiene una connotación espiritual,,,pinta abuela
15:33,15:36,"For example, if a person moves, they must sacrifice
an animal to shed its blood","Por ejemplo, si una persona se muda debe sacrificar
un animal para dejar derramar su sangre",,,pinta abuela
15:37,15:46,"It has a spiritual connotation, but at the same time
has a dark spiritual connotation","Tiene una connotación espiritual, pero a la vez
tiene una connotación espiritual oscura",,,pinta abuela
15:47,15:52,"When a person arrives in a new territory, they must
have food coffee drinks etc.","Cuando una persona llega un nuevo territorio debe
haber comida café bebidas etcétera",,,pinta abuela
15:55,15:57,"If you don't do it, a child will die, because with the ritual it is
As if you buy your stay in the territory somehow","Si no lo hace se le muere un hijo, porque con el ritual es
como si comprara como su estadía en el territorio",,,pinta abuela
15:58,16:05,What else does the spiritual imply?,¿Qué otra cosa implica lo espiritual?,,,pinta abuela
16:06,16:10,"Everything has a spiritual connotation, as well as that of
defy god","Todo tiene una connotación espiritual, así como la de
desafiar a Dios",,,pinta abuela
16:11,16:12,"If the ritual is not done, the price may be the
son they love the most","Si no se hace el ritual puede que el precio sea el
hijo qué más quiere",,,pinta abuela
16:13,16:20,And the animals?,¿Y los animales?,,,pinta abuela
16:21,16:25,"It affects their animals because by not doing the ritual they
they fade away little by little","Afecta sus animales porque al no hacer el ritual se
le van acabando poco a poco",,,pinta abuela
16:26,16:33,"They can even have cows, even so, they will run out of animals for not asking the permission of the land through the ritual

4:33 p.m. 4:34 p.m.
And with the water?","puede tener hasta vacas, aun así, se van acabar por no pedir el permiso a la tierra a través del ritual

16:33 16:34
¿Y con el agua?",,,pinta abuela
16:35,16:39,"It is also the same if the child of that person reaches out
for water in the well, the child can fall into it","También es lo mismo si el hijo de esa persona llega a
buscar agua en el pozo se puede caer en él",,,pinta abuela
16:40,16:48,The spirit makes them fall into the well when it makes them lean over to fall to the bottom and drowns them,"El espíritu hace que caiga al pozo cuando hace que se
asome para caer en el fondo y lo ahoga",,,pinta abuela
16:54,16:57,You just talked about nature itself being a living being,Acaba de hablar de que la naturaleza en sí es un ser vivo,,,pinta abuela
16:58,17:01,"A clear example is when a person goes to
move to another place","Un ejemplo claro es cuando una persona se va a
mudar a otro sitio",,,pinta abuela
17:02,17:06,"When you are going to move, you must
shed the goat's blood","Cuando va a mudarse obligatoriamente debe
derramarse la sangre del chivo",,,pinta abuela
17:07,17:13,It's like an acceptance of nature in that locality,Es como una aceptación de la naturaleza en esa localidad,,,pinta abuela
17:14,17:21,"If you arrive without killing the goat, you will not be well accepted.",Si llega y no mata el chivo no va a ser bien aceptado,,,pinta abuela
17:22,17:27,"That's why it was very important that we cook
goat today as an acceptance","Por eso fue importantísimo que cocináramos
chivo hoy como una aceptación",,,pinta abuela
17:28,17:33,"Because that way, things go well for us, and because the spirits, according to the evangelical belief, are pleased","Porque así nos va bien y porque los espíritus según
el concepto evangélico, están contentos",,,pinta abuela
17:34,17:43,"Then she mentioned constantly that all nature
both the water, the vegetation even the goats
there is a being that takes care of them there","Entonces ella mencionó en todo que toda la naturaleza
tanto el agua, esta vegetación incluso los chivos
hay un ser que los cuida ahí",,,pinta abuela
17:44,17:52,"If we mistreat these animals, they are going to leave us, they are not going to produce, that is why it is necessary to caress them, we have to talk to them","Si nosotros maltratados a estos animales se nos van a ir, no van a producir, por eso es necesario acariciarlos hay que hablarles",,,pinta abuela
17:53,17:58,"That's why she says we respect that connection, if
I have that connection I understand nature","Por eso ella dice que respetemos esa conexión, si yo
tengo esa conexión yo entiendo a la naturaleza",,,pinta abuela
17:59,18:01,I don't know what we are going to ask her now,No sé qué le vamos a preguntar ahora,,,pinta abuela
18:02,18:05,Ask her how she relates to the wind,Preguntarle cómo se relaciona con el viento,,,pinta abuela
18:06,18:13,"As there is a lot of wind now, I don't know if it's something
that should you ask","Así como hay mucho viento ahora, no sé si es algo
que deberías preguntar",,,pinta abuela
18:22,18:26,"It got lost. it got lost? No, I want to explore the land","Se perdió. ¿se perdió? No, quiero explorar la tierra",,,pinta abuela
18:27,18:31,to understand the culture,Para entender la cultura,,,pinta abuela
20:35,20:40,See how things are with the arrival of your visitors,Mira como son las cosas con la llegada de tus visitantes,,,pinta abuela
20:41,20:47,"You see how things are, he did not leave just because, some spirit from those around us unconsciously called him to take him away","Ves como son las cosas, él no se fue solo porque si, algún espíritu de los que nos rodean lo llamo inconscientemente para llevárselo",,,pinta abuela
20:53,20:56,"If there were no evil spirit among us,
he wouldn't have left like that on his own","Si en el medio de nosotros no hubiese algún espíritu
maligno él no se hubiese ido solo así",,,pinta abuela
20:56,21:03,"He would have asked or asked for the company of some of the
boys to take him where he was going","Él hubiese preguntado o pedir compañía de algún
niño para que lo lleve a donde iba",,,pinta abuela
21:04,21:09,"You see how each thing has its connotation, that's why
must make a good harmonization with food today","Ven como cada cosa tiene su connotación por eso se
debe hacer hoy una buena armonización con la comida",,,pinta abuela
21:10,21:12,So that it does not affect the life of a child here,Para que no afecte la vida de un niño acá,,,pinta abuela
21:13,21:15,There are a lot of evil spirits right now and it knows what's going on,Hay muchos espíritus malignos en estos momentos y sabe lo que está sucediendo,,,pinta abuela
21:13,21:22,"To definitely wrap up,",Para culminar ahora sí,,,pinta abuela
21:26,21:34,"We already spoke about the water and its spirits,
as well as our Juya (rain) our father","Ya hablamos entonces del agua y de sus espíritus,
así como también de nuestro Juya (lluvio) nuestro padre",,,pinta abuela
21:35,21:40,We also talk about dreams and their meaning,Hablamos también de los sueños y su significado,,,pinta abuela
21:41,21:46,"However, there is something that is rarely talked about and it is
regarding the wind","Sin embargo, hay algo que muy poco se habla y es
con respecto al viento",,,pinta abuela
21:48,21:52,"Because if we ask a village elder
about the wind, he does not know the answer","Porque si le preguntamos a un anciano del pueblo
sobre el viento no sabe la respuesta",,,pinta abuela
21:52,21:53,It is something that is commonly unknown,Es algo que muy poco se conoce,,,pinta abuela
21:54,21:57,And I was wondering if you could share something about the wind,Y me preguntaba si nos podrías compartir algo sobre el viento,,,pinta abuela
21:58,22:03,"If a person dreams of the wind, it is because they’re
going to be hit by a car","Si una persona sueña con el viento es porque lo
va atropellar un carro",,,pinta abuela
22:04,22:08,What he asks is regarding the history of the wind in ancient times.,Lo que él pregunta es con respecto a la historia del viento en la antigüedad,,,pinta abuela
22:09,22:17,"He was a strong mythological being who climbed
up to the sky in a swirl","Él era un ser mitológico fuerte que se subía
hasta el cielo en forma de remolino",,,pinta abuela
22:18,22:24,"The whirlpool is formed from the earth in a circle and
slowly ascending to the sky","El remolino se forma desde la tierra en círculo y
va subiendo poco a poco hasta el cielo",,,pinta abuela
22:25,22:30,"If you could see one now you would realize that
he forms from the earth to vanish in the sky","Si ustedes vieran uno ahora se darían cuenta que
él se forma desde la tierra hasta desvanecerse en el cielo",,,pinta abuela
22:33,22:42,"If the wind is always among us and even gives
signs of when someone is their chosen one","Si el viento está siempre entre nosotros incluso da
señales de cuando alguien es su elegida",,,pinta abuela
22:43,22:48,"If he liked a woman a lot, he
manifests through the swirl","Si le gustó mucho una mujer él se
manifiesta a través del remolino",,,pinta abuela
22:49,22:53,He is very good at picking people,Él es muy bueno para escoger personas,,,pinta abuela
23:00,23:08,"They have something, not deeply from the wind, but if something
from the dream, what meaning does the wind have in the dream","Tienen algo, no profundamente del viento, pero si algo
desde el sueño, qué significado tiene el viento en el sueño",,,pinta abuela
23:10,23:16,Can you talk a bit about the footprints? That you are very good at finding tracks,¿Puede hablar un poco de las huellas? Que ustedes son muy buenos encontrando huellas,,,pinta abuela
23:17,23:19,"It's because of the herding, we are very good at herding","Es por el pastoreo, nosotros somos muy buenos en el pastoreo",,,pinta abuela
23:53,24:01,"Being a woman in Wayuu society, the importance
That it has, How does that work here?","Eso de ser mujer en sociedad wayúu, la importancia
que tiene ¿Como funciona eso aquí?",,,pinta abuela
24:03,24:06,The importance of women? Yeah,¿La importancia que tienen las mujeres? Sí,,,pinta abuela
24:09,24:10,can you talk to us a bit,Puedes hablarnos un poco,,,pinta abuela
24:11,24:15,On the social organization of the Wayúu,Sobre la organización social del wayúu,,,pinta abuela
24:16,24:20,Can you tell us a bit about that?,Puedes hablarnos un poco de eso,,,pinta abuela
24:22,24:24,"Our children that are women, they are our family",Nuestros hijos como mujeres son nuestra familia,,,pinta abuela
24:25,24:33,"Instead, the sons of the men are belong to
another family (mother's). That's how it is","En cambio, los hijos de los hombres ya son de
otra familia (la de la madre). Así es",,,pinta abuela
24:34,24:41,Why are women important for the future?,¿Porque las mujeres son importantes para el futuro?,,,pinta abuela
24:42,24:46,"Women are important and necessary because
they are the ones that are going to keep that learning","Las mujeres son importantes y necesarias porque
ellas son las que se van a quedar con ese aprendizaje",,,pinta abuela
24:42,24:50,"They are the ones who are going to share everything about culture,
They are the ones that will preserve what we are","Ellas son las que van a multiplicar todo sobre la cultura,
son las que van a conservar lo que somos",,,pinta abuela
24:51,24:57,They are going to make our culture continue when we are no longer here.,Ellas van hacer que se mantenga nuestra cultura cuando ya no estemos,,,pinta abuela
24:58,25:02,"So you don't get lost, of course.","Para que no se pierda, claro",,,pinta abuela
25:06,25:08,"yes, she mentioned how important and how is our matrilineal structure","sí, ella mencionó cuál es la importancia y como es nuestra estructura matrilineal",,,pinta abuela
25:16,25:22,And how is that presented on a day-to-day basis?,¿Y cómo se presenta en el día a día?,,,pinta abuela
25:25,25:29,More than anything it is how we live that tradition,Más que todo es como vivimos esa tradición,,,pinta abuela
25:41,25:45,"That is why I also clarify it a lot, the maternal line","Por eso también lo aclaro mucho, lo que es la línea materna",,,pinta abuela
25:47,25:52,"She said, the one who has rights over the children is the woman","Ella dijo, la que tiene derecho sobre los hijos es la mujer",,,pinta abuela
25:53,25:57,Because the paternal does not have as much involvement,Porque el paterno no tiene tanta implicación,,,pinta abuela
25:58,26:01,"We also saw red a lot. How important is it?
that for culture? for the women?","También vimos mucho el rojo ¿Qué importancia tiene
eso para la cultura? ¿para las mujeres?",,,pinta abuela
26:08,26:15,"The dance too, if you can explain the yonna dance","El baile también, si puede explicarnos la yonna",,,pinta abuela
26:16,26:20,"They are very curious about the yonna when
they saw the children dance","Ellos tienen mucha curiosidad sobre la yonna cuando
vieron a los niños bailar",,,pinta abuela
26:22,26:26,"Can you tell us what is the yonna? And why is
dance in a circle","Puedes decirnos ¿Qué es la yonna? Y ¿Por qué se
baila en forma circular?",,,pinta abuela
26:27,26:34,And why did the sky dance backwards?,Y ¿Por qué el cielo bailaba de reversa?,,,pinta abuela
26:35,26:36,"So it should be, that is their position since ancient times","Así debe ser, esa es su posición desde la antigüedad",,,pinta abuela
26:37,26:40,But tell us a little more,Pero cuéntanos un poco más,,,pinta abuela
