Start Time,End Time,EN,ES,Highlight,Comments
00:06:27:22,00:06:31:19,"the Earth, which is mysterious,
because he fought with Palaa,","la tierra, que es misteriosa,
porque se peleo con Palaa https://www.umng.edu.co/la-universidad/isashii-palaa,",WHITE (8),
00:06:33:01,00:06:35:11,because there were floods from,porque hubo inundaciones a partir de,,
00:06:35:12,00:06:38:12,"that Palaa, the sea, invaded the Earth","que xxxx, la mar, invadió a la tierra",,
00:06:40:04,00:06:42:00,"his sister, they fight.","su hermana, se pelean.",,
00:06:42:01,00:06:44:18,Because there are beings that transform.,Porque hay seres que son transformadores.,,
00:06:44:22,00:06:48:18,"When someone breaks a rule,
the very violent like a jaguar,","Cuando alguien quebranta una norma,
el jaguar muy violento,",,
00:06:48:19,00:06:52:22,"a human was turned into a jaguar for his desire
for violence,","un humano, fue convertido en jaguar por su afán
por la violencia,",,
00:06:52:23,00:06:57:03,"the war, the blood. The crows,","la guerra, la sangre. Los cuervos,",,
00:06:57:04,00:06:59:21,the carrion birds that were,las aves carroñeras que eran,,
00:07:00:12,00:07:04:21,"Wayuú shepherds who liked meat,
They ate the entire flock,","wayú pastores que les gustaba la carne,
se comieron todo el rebaño,",,
00:07:05:00,00:07:08:01,"then they ate any dead animal
that they found,","luego se comían cualquier animal muerto
que encontraban,",,
00:07:08:14,00:07:12:23,"They were uncontrollable
their obsession with meat were transformed","eran incontrolables,
su obsesión por la carne fueron transformados",,
00:07:12:24,00:07:16:25,"in the buzzards, in the crows that we see today
who eat rotten meat.","en los gallinazos, en los cuervos que vemos hoy
que comen carne podrida.",,
00:07:17:18,00:07:20:06,"The snake, the rabbit, because it was very sad,","La serpiente, el conejo, porque era muy triste,",,
00:07:21:08,00:07:24:08,"He was mischievous and they transformed him. Anyway,","hacía travesuras y lo transformaron. En fin,",,
00:07:24:10,00:07:27:28,"then all those stories of the Wayuú
They show us the transformation,","entonces todos esos relatos de los wayú
nos muestran la transformación,",,
00:07:28:19,00:07:31:06,but from the transformation we move to the current world.,pero de la transformación pasamos al mundo actual.,,
00:07:31:27,00:07:34:21,"The world as we see it today,","El mundo como lo vemos actualmente,",,
00:07:34:22,00:07:36:28,then the plants,"entonces, las plantas",,
00:07:37:25,00:07:42:01,"When they transformed from being humans,
that their arms turned into leaves,","cuando se transformaron como humanos,
que sus brazos se convirtieron en hojas,",,
00:07:42:02,00:07:47:18,"their legs in stems and in roots,
They stayed in the place where they were assigned.","sus piernas en tallos y en raíces,
se quedaron en el lugar en donde les fue asignado.",,
00:07:49:07,00:07:50:24,"They are peaceful,","Son pacíficas,",,
00:07:50:25,00:07:53:25,"They don't attack anyone, they don't mess with anyone.","no atacan a nadie, no se meten con nadie.",,
00:07:54:16,00:07:56:23,This doesn't happen to animals or humans.,Esto no le pasa ni a los animales ni a los humanos.,,
00:07:57:06,00:08:01:00,"So, that desire for pacifism,","Entonces, esa voluntad de pacifismo,",,
00:08:01:22,00:08:05:02,"that ability to stay in the place that suits you
was assigned,","esa capacidad de quedarse en el lugar que le
fue asignado,",,
00:08:05:03,00:08:08:03,"Well, in these cosmological notions
the world has an order,","pues en estas nociones cosmológicas
el mundo tiene un orden,",,
00:08:08:23,00:08:11:08,"the world has an order,","el mundo tiene un orden,",,
00:08:11:16,00:08:13:17,Even the rain has an order.,hasta la lluvia tiene un orden.,,
00:08:13:18,00:08:16:28,"The rain must water in an way
and the intensity of its fall","La lluvia debe regar en orden
y la intensidad de su caída",,
00:08:16:29,00:08:20:11,"must be gradual,
and then all that is an order.","tiene que ser gradual,
y entonces todo eso es un orden.",,
00:08:21:15,00:08:23:22,For this reason they are considered the wisest beings,Por ello se les considera los seres más sabios,,
00:08:24:09,00:08:25:24,that is in nature.,que hay en la naturaleza.,,
00:08:25:24,00:08:28:11,"And when the Wayú fight for land,","Y cuando los wayú pelean por tierras,",,
00:08:29:07,00:08:33:04,"displaced persons, for example, violence,
the Wayuú tell him","desplazados, por ejemplo, violencia,
los wayú le dicen",,
00:08:33:05,00:08:37:06,"you have to be like the plants
that they do not dispute the lands with anyone.","hay que ser como las plantas
que no disputan las tierras con nadie.",,
00:08:37:07,00:08:40:09,"They stayed in the place they told them,
this is your place and from there","Se quedaron en el lugar que le dijeron,
este es tu lugar y de ahí",,
00:08:41:13,00:08:43:09,They live and,vive y,,
00:08:43:10,00:08:44:14,there are.,allí está.,,
00:08:44:15,00:08:49:12,"But the plant also preserves
a residual humanity that dwells within her.","Pero también la planta conserva
una humanidad residual que habita dentro de ella.",,
00:08:50:01,00:08:53:08,"That past, not that past
but that transhistorical time,","Ese pasado, no ese pasado
sino ese tiempo trans histórico,",,
00:08:53:09,00:08:56:24,"because it is not a notion of the past,
present and future","porque no es una noción de pasado,
presente y futuro",,
00:08:56:25,00:08:58:27,"as in the West,","como en Occidente,",,
00:08:58:28,00:09:02:20,"that linear vision,
It is a vision of discontinuous time","esa visión lineal,
es una visión de tiempo discontinuo",,
00:09:03:01,00:09:07:23,"and other complex shocks of time,
which is not cyclical time.","y otras conmociones complejas de tiempo,
que no es el tiempo cíclico.",,
00:09:08:04,00:09:12:16,"No, that's linear time that goes around,
It's the same linear time, but it goes around.","No, ese es un tiempo lineal que da vueltas,
es el mismo tiempo lineal, pero da vueltas.",,
00:09:12:29,00:09:16:02,"These are discontinuous times,","Estos son tiempos discontinuos,",,
00:09:17:07,00:09:19:27,"times that may be ahead,","tiempos que pueden estar adelante,",,
00:09:19:28,00:09:23:25,"times that can be parallel
with everyday time","tiempos que pueden ser paralelos
con el tiempo cotidiano",,
00:09:23:26,00:09:28:29,"and times that are referential, that tell us
we must refer to the order","y tiempos que son referenciales, que nos dicen
hay que remitirnos al orden",,
00:09:29:22,00:09:31:09,of this time,de este tiempo,,
00:09:32:01,00:09:33:08,that is there.,que está allí.,,
00:09:34:06,00:09:36:22,"So with the dream,","Entonces, con el sueño,",,
00:09:37:20,00:09:40:00,"the ritual, the landscape,","el ritual, el paisaje,",,
00:09:41:00,00:09:43:08,"that time is accessible to the current time,","ese tiempo es accesible al tiempo actual,",,
00:09:45:16,00:09:48:24,"for the stories, for the history, for the visual.","por los relatos, por la historia, por lo visual.",,
00:09:49:16,00:09:53:06,"So every tree, every plant has that
and the animals too.","Entonces cada árbol, cada planta tiene eso
y los animales también.",,
00:09:53:25,00:09:57:25,"In fact, it is believed that they had knowledge,
They practiced their trade.","De hecho se cree que ellos tenían conocimiento,
practicaban oficio.",,
00:09:58:24,00:10:03:06,"The spider wove and taught humans
to knit, to women.","La araña tejía y enseñó a los humanos
a tejer, a las mujeres.",,
00:10:03:22,00:10:05:18,"The jaguar knew how to wage war,","El jaguar sabía hacer la guerra,",,
00:10:05:18,00:10:09:14,we know the war for them.,sabemos la guerra por ellos.,,
00:10:09:15,00:10:13:02,"Corn was a farmer, just like the bean,","El maíz era un agricultor, igual que el frijol,",,
00:10:13:09,00:10:15:11,We learn agriculture from them.,aprendemos la agricultura de ellos.,,
00:10:16:02,00:10:19:13,"Music came to us from animals or trees,","La música se nos vino de los animales o de árboles,",,
00:10:19:20,00:10:23:29,like the flute from which we get the wood.,como la flauta de donde sacamos la madera.,,
00:10:24:00,00:10:28:01,"In short, jobs and human institutions
They are a legacy,","En fin, los oficios y las instituciones humanas
son un legado,",,
00:10:28:29,00:10:31:17,"a legacy, from other living beings,","un legado, de otros seres vivientes,",,
00:10:32:02,00:10:35:25,"most of which are not human,
They are not human.","la mayoría de los cuales no son humanos,
no son humanos.",,
00:10:47:06,00:10:49:03,"So,","Entonces,",,
00:10:49:27,00:10:51:12,let's say for,digamos para,,
00:10:51:13,00:10:57:00,"To explain it this way, they are notions of the Wayuú world
that have to do with the role of the Earth","explicarlo así, son nociones del mundo wayú
que tienen que ver con el papel de la tierra",,
00:10:57:11,00:10:58:24,"like a being,","como un ser,",,
00:10:58:25,00:11:02:15,"a maternal, feminine, large being, who somehow","un ser materno, femenino, grande, que de alguna manera",,
00:11:02:16,00:11:07:15,"She is the mother of us all,
but that sometimes arises in a stereotype.","es la madre de todos nosotros,
pero que a veces se plantea en un estereotipo.",,
00:11:07:16,00:11:09:18,like that being,Como ese ser,,
00:11:09:19,00:11:12:08,"wise, infallible, pure.","sabio, infalible, puro.",,
00:11:12:17,00:11:16:11,"No, she is a being with generous traits,","No, es un ser con rasgos de generoso,",,
00:11:16:12,00:11:21:29,"fertile, gives life, but mysterious and reckless.","fértil, da vida, pero misteriosa e imprudente.",,
00:11:22:00,00:11:25:22,"May fall into disputes.
When the Wayuú see climate change","Puede caer en disputas.
Cuando los wayú ven el cambio climático",,
00:11:26:04,00:11:29:07,and when the Wayuú talk about coastal erosion,y cuando a los wayú hablan de la erosión costera,,
00:11:29:08,00:11:33:04,"and all this warming, they see it as wars,","y todo esto del calentamiento, lo ven como guerras,",,
00:11:33:25,00:11:37:08,"tensions between Palaa and Mma, the Earth.","tensiones entre xxxx y xxxx, la tierra.",,
00:11:38:26,00:11:40:10,They keep those tensions and,Ellas guardan esas tensiones y,,
00:11:40:11,00:11:43:18,those tensions that are in time.,esas tensiones que están en el tiempo.,,
00:11:44:12,00:11:48:04,"It’s not like it just happened and the collapse comes,","Lo que acaba de ocurrir, viene el colapso,",,
00:11:48:22,00:11:51:05,The world is going to end for the first time.,se va a acabar el mundo por primera vez.,,
00:11:51:07,00:11:53:12,"No, they say, that's old,","No, ellos dicen, eso es viejo,",,
00:11:54:09,00:11:58:27,"we know that they have tensions
and that there may be times when","nosotros sabemos que ellas guardan tensiones
y que pueden haber tiempos en que",,
00:12:00:06,00:12:01:16,Palaa invades,xxxx invade,,
00:12:01:17,00:12:06:23,"and they show us the snails, the shells
that are inside the Earth and the Sea is far away","y nos muestran los caracoles, las conchas
que están adentro de la tierra y el mar está lejos",,
00:12:06:24,00:12:09:13,"and says look, this is proof that Mma,","y dice mira, esto es una prueba de que xxxx,",,
00:12:10:00,00:12:12:26,"that the sea had invaded the land
so long ago.","de que el mar había invadido la tierra
hace tanto tiempo.",,
00:12:14:05,00:12:16:08,Yeah.,Si.,,
00:12:16:10,00:12:29:12,"So, well, that's how to introduce","entonces, bueno, eso es como para introducir",,
00:12:29:13,00:12:33:01,"what we can talk about,
to give you a vision.","en lo que podemos hablar,
para darte una visión.",,
00:12:33:26,00:12:35:08,Yes.,Sí.,,
00:12:35:08,00:12:37:15,Original of all this town,Original de todo este pueblo,,
00:12:37:26,00:12:38:16,"Well,","Bueno,",,
00:12:39:08,00:12:40:22,"many of the things you have said,","muchas de las cosas que has dicho,",,
00:12:40:22,00:12:42:02,that's true.,eso es cierto.,,
00:12:42:03,00:12:45:17,"and I have been living in Peru,","y yo he estado viviendo en Perú,",,
00:12:45:18,00:12:50:01,"and I was noticing a lot about people
there, friends that I was making.","y me estaba dando cuenta de mucho de las personas
allí, amigos que yo estaba haciendo.",,
00:12:51:00,00:12:53:17,they had a different relationship with the Earth.,Tenía una relación diferente con la Tierra.,,
00:12:53:18,00:12:54:10,Clear.,Claro.,,
00:12:54:14,00:12:58:02,"And all the moon, the sun.","Y todos los la luna, el sol.",,
00:12:58:12,00:13:02:03,"A relationship between a human,","Una relación de relación entre un humano,",,
00:13:02:04,00:13:06:07,a spiritual being and what I wanted to capture,un ser espiritual y lo que quería plasmar,,
00:13:07:11,00:13:08:18,was in,fue en,,
00:13:08:19,00:13:12:26,"the minds of city people
or Western culture.","la mente de gente de la ciudad
o de la cultura occidental.",,
00:13:13:25,00:13:17:19,"It was that basically

we are killing our mother a little","Fue que pues básicamente

estamos matando un poco a nuestra madre",,
00:13:17:25,00:13:24:00,"This is how we can fight that
or how can we stop that in a way","Así es como cómo podemos pelear eso
o cómo podemos parar eso de una manera",,
00:13:24:06,00:13:27:11,is to show intimate relationships with the earth,es de mostrar relaciones íntimas con la tierra,,
00:13:27:23,00:13:30:07,"or with nature, for example,","o con la naturaleza, por decir,",,
00:13:30:14,00:13:33:00,"because as you are saying, many","porque como está diciendo usted, muchos",,
00:13:33:10,00:13:36:14,"indigenous, many are not, there is no separation, right?","indígenas, muchos no, no hay una separación,¿ no?",,
00:13:37:03,00:13:39:22,And then what we did there,Y entonces lo que hicimos ahí,,
00:13:40:14,00:13:43:20,"and what we want to do
Here they are two different things.","y lo que queremos hacer
aquí son dos cosas distintas.",,
00:13:43:21,00:13:46:01,And I was telling them something about that and,Y les estaba diciendo algo acerca de eso y,,
00:13:46:02,00:13:51:25,is that first of all we want to expose,es que primero que todo queremos exponer,,
00:13:52:27,00:13:55:21,"the territory,","el territorio,",,
00:13:55:22,00:13:59:29,"physical things, like the wind, the hills.","las cosas físicas, como el viento, los cerros.",,
00:14:00:02,00:14:01:18,"Yes, the hills are brutal. They are brutal","Eso, los cerros son brutales. Brutales son los cerros",,
00:14:01:19,00:14:05:01,"Yes, but as a main character","Sí, pero como un carácter principal",,
00:14:06:09,00:14:07:14,of the story.,de la historia.,,
00:14:07:14,00:14:12:27,"So what we are doing is a documentary
from a series of like six places in Colombia.","Entonces lo que estamos haciendo es un documental
de una serie de como seis lugares en Colombia.",,
00:14:12:28,00:14:17:26,"Now and in each of them
We want to focus first on the territory,","Ahora y en cada uno de ellos
queremos enfocar primero en el territorio,",,
00:14:17:27,00:14:20:20,"because as you are saying, that territory","porque como está diciendo, ese territorio",,
00:14:21:11,00:14:25:03,has a different relevance for each group,tiene una relevancia diferente para cada grupo,,
00:14:25:06,00:14:27:27,and then we want to show,y entonces queremos mostrar,,
00:14:28:16,00:14:31:14,the territory as it is alive and we are,el territorio como vivo y estamos,,
00:14:31:25,00:14:35:15,"from what we have read from you and others
is that here it is the wind.","de lo que hemos leído de ustedes y de otros
es que aquí es el viento.",,
00:14:35:16,00:14:39:21,"It's like one of the (…)
which is vital and also","Es como uno de los (…)
que es vital y también",,
00:14:40:11,00:14:42:20,speaking as a filmmaker the best,hablando como cineasta si lo más,,
00:14:43:01,00:14:46:18,"to show because they have an agency, right?","bien para mostrar porque tienen una agencia, no?",,
00:14:46:19,00:14:47:21,One can see it.,Uno se puede ver.,,
00:14:47:21,00:14:51:21,"And there are several, in plural,
It is not just one, it is many winds.","Y son dos y son plurales,
no es uno solo, son muchos vientos.",,
00:14:51:22,00:14:54:01,"Well, let me see if I can bring you here,","Bien, yo voy a ver si te traigo aquí,",,
00:14:54:02,00:14:57:11,"I have something I published
in a Mexican magazine about winds.","tengo algo que publiqué
en una revista mexicana sobre los vientos.",,
00:14:57:23,00:15:08:09,Cool.,Chido.,,
00:15:08:10,00:15:28:01,"Wilder Guerra.
Yeah,","Wilder Guerra.
Sí,",,
00:15:29:05,00:15:30:05,that's all.,eso es todo.,,
00:15:30:06,00:15:31:10,Of course it is in Spanish.,Claro está en español.,,
00:15:34:16,00:15:36:09,"So,","Entonces,",,
00:15:37:24,00:15:41:21,It is called “At the mercy of the winds”.,se llama merced de los vientos.,,
00:15:41:22,00:15:43:09,Talks a little about the relationship between men and,habla un poco de la a relación de los hombres con,,
00:15:43:10,00:15:44:28,It is also published in,Está publicado también en,,
00:15:44:29,00:15:47:02,Internet.,Internet.,,
00:15:47:14,00:15:48:19,I don't know if I read,No sé si leí,,
00:15:48:19,00:15:52:14,"everything, but yes.","todo, pero sí.",,
00:15:52:15,00:15:59:25,"Yes, at the mercy of the winds.",Si a merced de los vientos.,,
00:15:59:26,00:16:04:15,It's about I guess each of the winds,Se trata de  supongo que cada uno de los vientos,,
00:16:04:16,00:16:07:22,also has their different character.,también tiene su su carácter.,,
00:16:07:23,00:16:11:27,"their mood, each one their temperament.","diferente, su ánimo, cada uno su temperamento.",,
00:16:12:25,00:16:15:01,"Some are beneficial, others","Algunos son benéficos, otros",,
00:16:15:02,00:16:18:11,"They bring hunger, drought, others...","traen el hambre, la sequía, otros…",,
00:16:18:12,00:16:21:02,"Yes, that will vary.","Sí, eso va a variar.",,
00:16:21:03,00:16:22:06,"Yes, yes.","Sí, sí.",,
00:16:40:13,00:16:41:26,"Well, there's so much to talk about, right?","Bueno, hay tanto para hablar ¿no?",,
00:16:41:27,00:16:43:03,Yeah.,Sí.,,
00:16:43:07,00:16:44:04,There's a lot,Hay mucho,,
00:16:44:05,00:16:50:11,"and I love that of the territory, because
the territory is like a book, the territory","y me encanta lo del territorio, porque es que
el territorio es como un libro, el territorio",,
00:16:50:12,00:16:53:17,"speaks, the territory just with its landscape","habla, el  territorio solo con el paisaje",,
00:16:53:18,00:16:57:05,"He's talking, he's saying,","está hablando, está diciendo,",,
00:16:57:06,00:16:59:03,things and...,cosas y…,,
00:16:59:04,00:17:01:09,"and the hills,","y los cerros,",,
