Start Time,End Time,EN,HI,Highlight,Comments,Speaker
"00:02:02,624","00:02:05,531","Interview: Take me to your early days, what did you do?","interview: आप अपने शुरूआती दिनों में ले जाइए, क्या करते थे",,,sadhu 1
"00:02:05,899","00:02:09,819",baba: We will tell you 14 years from today,baba: हम आपको आज से 14 वर्ष पहले बता देते हैं,,,sadhu 1
"00:02:10,559","00:02:12,826",we used to do readymade work,हम readymade का काम करते थे,,,sadhu 1
"00:02:13,863","00:02:15,237",means private job,मतलब की प्राइवेट जॉब,,,sadhu 1
"00:02:16,910","00:02:18,870","I have mother, father","माता जी हैं हमारी, पिताजी हैं",,,sadhu 1
"00:02:19,590","00:02:21,357",and we are four brothers,और हम चार भाई हैं,,,sadhu 1
"00:02:22,759","00:02:27,192","I am the second one , I have one brother elder than me and two brothers younger than me.","हम दुसरे नंबर पर आते हैं, हमसे बड़ा एक भाई है और हमसे दो छोटे भाई हैं हमारे",,,sadhu 1
"00:02:28,159","00:02:29,745",He is also busy with his work,वो भी अपने कार्य में busy हैं,,,sadhu 1
"00:02:31,672","00:02:34,465","Interview: Tell us about everyone, who does what?  What does dad do?","interview: सबके बारे में बताइए, कौन क्या-क्या करता है ? पिताजी क्या करते हैं ?",,,sadhu 1
"00:02:34,490","00:02:37,039",Like dad is in gurgaon,जैसे पिताजी हमारे गुडगाँव हैं,,,sadhu 1
"00:02:37,806","00:02:42,106","Maruti is an agency company, a very old company of our country.","मारुती एजेंसी कंपनी है, बहुत पुरानी कंपनी है हमारे देश की",,,sadhu 1
"00:02:42,717","00:02:46,570",So my father has a small business there,तो वहां पापाजी का छोटा सा कारोबार है,,,sadhu 1
"00:02:47,958","00:02:51,038",like a sweet shop,जैसे मिठाई की शॉप है,,,sadhu 1
"00:02:52,285","00:02:58,158",And my younger brother also gets the work done by helping father.,"और साथ में जो छोटा भाई है हमारा, साथ में पापाजी की हेल्प के लिए वो काम करवा देते हैं",,,sadhu 1
"00:02:59,910","00:03:03,843","And there is one brother younger than me, he is also in Gurgaon.","और एक भाई और है छोटा हम से, वो भी गुडगाँव में ही है",,,sadhu 1
"00:03:03,868","00:03:07,825","Like there is a bookshop, he works there","जैसे कि बुक शॉप है, उसपे काम करते हैं",,,sadhu 1
"00:03:10,436","00:03:18,082","That is, family life is also good and life without family  is also good.","ये है, गृहस्थी जीवन भी अच्छा है और बिना गृहस्थी जीवन भी अच्छा है",,,sadhu 1
"00:03:18,593","00:03:25,266",It depends on the person which life he chooses and which he does not choose.,वो इंसान के ऊपर निर्भर करता है कि वह कौन सा जीवन चुनता है और कौन सा नहीं चुनता है,,,sadhu 1
"00:03:25,314","00:03:26,274",Interview: Why did you choose this?,interview: आपने ये क्यूँ चुना ?,,,sadhu 1
"00:03:27,094","00:03:31,501",baba: I chose this because I am fond of listening to God's hymns since childhood.,baba: हमने ये चुना क्योंकि हमें बचपन से ही शौंक है भगवान् के भजन सुनने का,,,sadhu 1
"00:03:32,103","00:03:41,687","To sit in the Aarti, to wake up on time in the morning, to meditate, to worship God, to offer obeisance to God in the morning, to light a lamp.","आरती में बैठने का, सुबह टाइम से उठने का, ध्यान भजन करने का, भगवान् के सामने सुबह उठकर प्रणाम करने का, दीप जलाने का",,,sadhu 1
"00:03:42,044","00:03:48,711","This is the work of a saint, means do not think that only a saint can do this work, a common man can also do this work.","ये एक साधु का कार्य होता है, मतलब आप ये मत समझिए कि सिर्फ साधु ही ये कार्य कर सकता है, एक आम इंसान भी ये कार्य कर सकता है",,,sadhu 1
"00:03:49,566","00:03:56,806","What is the point of this, our religion, our tradition should remain forever.","इससे क्या है, हमारा जो धर्म है, हमारी जो परंपरा है, हमेशा-हमेशा बनी रहे",,,sadhu 1
"00:03:57,419","00:04:02,913","And may we continue to call God face to face like this, and may our work continue to be successful like this.","और हम ऐसे ही भगवान को साक्षात् बुलाते रहें, और हमारे कार्य ऐसे ही सफल होते रहें",,,sadhu 1
"00:04:04,256","00:04:13,545","I pray to God to do good to everyone, and  God also says, if you do good things then good things comes to you, his glory is limitless.","ये प्रार्थना करते हैं भगवान् से कि सबका भला कीजिए, और कहते हैं भगवान्, कर भला तो हो भला, उनकी महिमा है अपरम्पार",,,sadhu 1
"00:04:15,373","00:04:20,970","Now as we have come here to Kashi, we are enjoying a lot here.",अब जैसे कि हम यहाँ काशी आए हैं तो हमें बहुत ही आनंद प्राप्त हो रहा है यहाँ पर,,,sadhu 1
"00:04:22,032","00:04:29,279",We are happy in our life and we have been here for at least two weeks now,हम अपने जीवन में खुशहाल हैं और अभी हमें यहाँ पर कम से कम दो हफ्ते हो गए हैं,,,sadhu 1
"00:04:29,876","00:04:32,876",We were having body problems since last three-four days.,अभी हमें तीन चार दिन से बॉडी में problem आ रही थी,,,sadhu 1
"00:04:33,783","00:04:36,756",We had fever so we took tablets and got injections.,"हमें फीवर आ गया था तो हमने टेबलेट ली, इंजेक्शन लगवाया",,,sadhu 1
"00:04:37,677","00:04:43,709","And now I have come out of the fever a little, I am feeling a little better now.","और अभी फीवर से थोडा सा बाहर निकले हैं , अभी थोडा सा better फील कर रहे हैं",,,sadhu 1
"00:04:44,019","00:04:50,272","Interview: When you thought of becoming a saint at the age of 22, what was the attitude of your family?",interview: 22 साल की उम्र में जब आपने साधु बनने का सोचा तो फिर घरवालो का क्या बर्ताव था ?,,,sadhu 1
"00:04:50,315","00:04:55,997","Baba: What about the family members, as I tell you there is a tradition in our family.","baba:घरवालों का क्या , जैसे कि आपको बताते हैं हमारे परिवार में एक परंपरा है",,,sadhu 1
"00:04:56,718","00:05:04,574","We follow the Jogi tradition, which means we are Joginath, both through our actions and through our religion.","हम जोगी परंपरा निभाते हैं, मतलब की जोगीनाथ हैं हम, कर्म से भी और धर्म से भी",,,sadhu 1
"00:05:06,041","00:05:07,788",So our uncle,तो हमारे जो चाचाजी थे,,,sadhu 1
"00:05:08,798","00:05:11,965","We give him the status of father, right from childhood.","हम उनको पिताजी का दर्जा देते हैं, बचपन से ही",,,sadhu 1
"00:05:13,174","00:05:16,881",So he was more attached with me,तो उनका मोह हम में ज्यादा था,,,sadhu 1
"00:05:17,961","00:05:20,961",And I also loved him more since childhood.,और हम भी उनसे ज्यादा प्रेम करते थे बचपन से ही,,,sadhu 1
"00:05:21,404","00:05:24,651",He used to get me up early in the morning and take bath,वो सुबह उठकर हमें जल्दी स्नान करवाते थे,,,sadhu 1
"00:05:25,458","00:05:27,964",used to get me dressed with  clean and beautiful clothes,अच्छे साफ़ सुन्दर कपडे डलवाते थे,,,sadhu 1
"00:05:28,578","00:05:32,505","They used to say, let's go to the temple and light a lamp in front of God.","कहते थे चलो मंदिर चलते हैं, भगवान् के आगे दीप जलाते हैं",,,sadhu 1
"00:05:34,508","00:05:40,160","So I use to wake up with them in the morning at 6:30 am, 5:50 am, 6:00 am","तो हम उनके साथ सुबह उठकर 6:30 am, 5:50 am, 6:00 am",,,sadhu 1
"00:05:40,234","00:05:44,674","After taking bath regularly, he used to go to the temple for prayer and worship.","नित्य रूप से नाहा धोकर, पाठ पूजा के लिए मंदिर जाते थे",,,sadhu 1
"00:05:45,007","00:05:51,767","So  we used to listen to Aarti Bhajans there, we used to get a different kind of peace in our mind.","तो वहां पर आरती भजन सुनते थे, तो मन में एक अलग ही सुकून प्राप्त करते थे हम",,,sadhu 1
"00:05:52,685","00:06:00,601","It means that there is a separate world, and everyone else is different from us, we are not like them.","मतलब की एक हमारी अलग ही दुनिया है, और बाकी सब हमसे अलग हैं, हम उन जैसे नहीं हैं",,,sadhu 1
"00:06:02,618","00:06:08,891","As we sit in the Aarti, we start meditating, we concentrate on God.","जैसे कि हम आरती में बैठते हैं, तो हमारी एक ध्यान धारणा लग जाती है, हम ध्यान लगा लेते हैं भगवान् का",,,sadhu 1
"00:06:10,765","00:06:19,518","There is so much joy in it, means that whatever work you do, you will get joy in it.","उसमें इतना आनंद है, मतलब कि आप जिस भी कार्य को करोगे उसमें आपको आनंद ही प्राप्त होगा",,,sadhu 1
"00:06:20,302","00:06:26,068","One who meditates, worships and worships God in the morning, makes the whole day blissful.","जो सुबह भगवान् का ध्यान, धर्म, पाठ पूजा करते हैं, उससे पूरा दिन आनंदमय जाता है",,,sadhu 1
"00:06:31,562","00:06:39,969","Interview: So tell us from the beginning what is the process of becoming a saint?  First step, second step, we have heard that to become a saint one has to donate one's own body?","interview: तो शुरू से बताएं कि साधु बनने की प्रक्रिया क्या होती है? पहला स्टेप, दूसरा स्टेप, हमने सुना है कि साधु बनने के लिए अपना ही पिंड दान करना पड़ता है ?",,,sadhu 1
"00:06:40,145","00:06:41,512","Baba: Yes, the last rites are performed.",baba: जी संस्कार किया जाता है,,,sadhu 1
"00:06:41,539","00:06:45,459","Interview: Tell me from the beginning, what is the first step when you take a decision for the first time?",interview:  शुरू से बताइए कि जैसे पहली बार आपने निर्णय लिया तो पहला स्टेप क्या होता है,,,sadhu 1
"00:06:45,806","00:06:50,179","baba: Yes, fourteen years ago we were in Haridwar.",baba: जी आज से चौदह वर्ष पहले हम हरिद्वार थे,,,sadhu 1
"00:06:51,548","00:06:56,875",So our uncle had given up his clothes.,तो हमारे चाचा जी ने चोला छोड़ दिया था,,,sadhu 1
"00:06:58,779","00:07:04,859",So after that we talked to our family that we wanted to become saints.,"तो उनके बाद हमने घरवालों से बात की, कि हम साधु बनना चाहते हैं",,,sadhu 1
"00:07:06,213","00:07:10,266","So see, it is not so easy to become a saint.","तो देखिए, इतना आसान भी नहीं है साधू बनना भी",,,sadhu 1
"00:07:11,120","00:07:15,546","Parents, siblings, uncles, maternal aunts","माता पिता, भाई बहन, चाचा ताऊ, मामा मामी",,,sadhu 1
"00:07:16,136","00:07:23,170","I don't know how many relatives there are who will know us or not, I don't know whether that time will come or not.","पता नहीं कितने ऐसे रिश्तेदार हैं जो हमें जानेंगे या नहीं जानेंगे, पता नहीं वो समय आएगा या नहीं आएगा",,,sadhu 1
"00:07:23,431","00:07:27,518",So we completely lost our attachment to those things.,तो हमने उन चीज़ों से बिलकुल ही मोह ख़त्म कर दिया,,,sadhu 1
"00:07:28,411","00:07:35,811","As they say, we have given up attachment to everything - money, wealth, property.","धन, दौलत, प्रॉपर्टी सब चीज़ों से, जैसे कहते हैं मोह-माया सब त्याग दिया हमने",,,sadhu 1
"00:07:36,686","00:07:41,725","So I am telling you, fourteen years ago our last rites were held in Haridwar, Har Ki Pauri.","तो आपको बता रहे हैं, चौदह वर्ष पहले हमारा संस्कार हुआ था हरिद्वार, हर की पौड़ी",,,sadhu 1
"00:07:43,347","00:07:51,314","So first of all when one becomes a saint, his last rites are performed.","तो सबसे पहले साधू जब बनता है, तो उसका संस्कार किया जाता है",,,sadhu 1
"00:07:52,173","00:08:01,576",Last rites ​​like whether a person dies or whether he lives.,संस्कार जैसे कि आदमी का मरण लगा लीजिए या फिर वो जीवन लगा लीजिए,,,sadhu 1
"00:08:01,601","00:08:09,359","Meaning that it is the second birth of a saint, he is freed from his previous life.","मतलब की वो साधु का दूसरा जन्म होता है, अपने वो पहले वाले जीवन से मुक्त हो जाता है",,,sadhu 1
"00:08:10,456","00:08:15,369","A resolution is taken for  God, the resolution is made to take place","एक भगवान् का संकल्प लिया जाता है, संकल्प करवाया जाता है",,,sadhu 1
"00:08:16,049","00:08:21,529","So in the resolution itself one renounces everything, that is, all attachment and attachment are left behind","तो संकल्प में ही हर चीज़ से, मतलब मोह-माया से त्याग किया जाता है",,,sadhu 1
"00:08:22,519","00:08:30,439","Meaning, you should stick to one rule that you become God's child for every birth.",मतलब आप एक नियम के रूम में लगा लो कि जन्म-जन्म के लिए भगवान् के हो जाते हैं,,,sadhu 1
"00:08:32,569","00:08:33,316",that is a saint,वो साधु है,,,sadhu 1
"00:08:34,860","00:08:44,829",So there are 108 Pandits or those who are our great saints from whom these traditions are continuing and will continue.,तो 108 पंडित या जो हमारे बड़े संत-साधु हैं जिनकी वह से ये परम्पराएं चल रही हैं और चलती रहेंगी,,,sadhu 1
"00:08:45,669","00:08:47,856",So those saints are served with food,तो उन साधुओं को भोजन करवाया जाता है,,,sadhu 1
"00:08:49,078","00:08:49,991",definitely,निश्चत रूप से,,,sadhu 1
"00:08:50,791","00:08:55,638",And they are honored with abundant Dakshina(donation),और उनको भरपूर दक्षिणा से विराजा जाता है,,,sadhu 1
"00:08:57,439","00:09:04,693",So only after that one gets the robe of a saint.,तो उसके बाद ही साधू का चोला प्राप्त होता है,,,sadhu 1
"00:09:04,789","00:09:08,996",Interview: How does it feel to donate one's own body?  Seeing your own funeral?,interview: कैसा लगता है कि अपने ही पिंड दान में जाना ? अपना ही अंतिम संस्कार देखना ?,,,sadhu 1
"00:09:09,021","00:09:17,791","baba: See, this is just a feeling, what we think, what we understand.","baba: देखिये ये सिर्फ एक भावना है, जो हम सोचते हैं, जो हम समझते हैं",,,sadhu 1
"00:09:18,478","00:09:27,798","But the feelings of a saint are different, he hardens his mind so much.","लेकिन साधू की जो भावनाएं हैं वो अलग हैं, वो अपने मन को इतना कठोर कर लेता है",,,sadhu 1
"00:09:28,172","00:09:34,073",Like a stone lying in one place weighs more.,जैसे कि एक जगह पड़ा हुआ पत्थर है उसका वजन ज्यादा है,,,sadhu 1
"00:09:34,126","00:09:39,153",This means that a stone lying on one side is heavier.,मतलब की एक साइड में पड़ा हुआ पत्थर भारी होता है,,,sadhu 1
"00:09:39,178","00:09:49,694","Similarly, the mind of a saint is like that, that is, we make it so tough, so powerful.","वैसे ही एक साधू का मन होता है, मतलब की उसे इतना कठोर, इतना powerful कर लेते हैं उसको",,,sadhu 1
"00:09:50,357","00:09:54,817",That those saints do not get attracted or emotional after seeing anything,कि वो साधू किसी भी चीज़ को देखकर आकर्षित या भावुक नहीं होते,,,sadhu 1
"00:09:55,227","00:10:03,174","They are attracted only by love and emotions, be it a devotee or a saint or any servant.","वो सिर्फ प्रेम और भाव से ही आकर्षित होते है, भगत से या साधू से या किसी भी सेवक से",,,sadhu 1
"00:10:06,244","00:10:15,232","So as I told you, 108 Pandit Maharajs are served with food and given Dakshina (donation)","तो जैसे कि हमने बताया आपको 108 पंडित महाराजों को भोजन करवाया जाता है, दक्षिणा दी जाती है",,,sadhu 1
"00:10:17,762","00:10:26,881","After that, Mundan (head shaving) takes place, meaning the head is shaved and the resolution is taken sitting on the banks of Ganga.","उसके बाद मुंडन होता है, मतलब मुंडन करवाया जाता है और संकल्प लिया जाता है गंगा के किनारे पर बैठ कर",,,sadhu 1
"00:10:27,354","00:10:32,797","Our Guruji makes us take resolutions and Havan-Pooja, Path-Pooja, everything is done.","जो हमारे गुरूजी हैं वो संकल्प करवाते हैं और हवन-पूजा, पाठ पूजा सब कार्य होता है",,,sadhu 1
"00:10:33,198","00:10:36,524",After that we are clothed in robes,उसके बाद हमें चोला पहनाया जाता है,,,sadhu 1
"00:10:37,289","00:10:40,869","And after wearing the chola, Guru's bell is given.",और चोला पहनाने के बाद गुरु घंटी दी जाती है,,,sadhu 1
"00:10:41,782","00:10:49,802","Which always reminds us, we are saints, our work and religion is different.","जो कि हमें हमेशा याद दिलाती है, हम साधू हैं, हमारा कर्म धर्म अलग है",,,sadhu 1
"00:10:51,599","00:10:54,699",So this is how the life of a saint goes.,तो ऐसे ही साधू का जीवन चलता है,,,sadhu 1
"00:10:55,462","00:10:57,236",and saint in his life,और साधू अपने जीवन में,,,sadhu 1
"00:10:57,916","00:11:09,489","At any time there is any sorrow, any problem, then the saint bears those things by remembering God through mantra.","किसी भी समय कोई दुःख है, कोई समस्या है, तो साधू उन चीज़ों को मन्त्र द्वारा भगवान् को याद करके झेल लेता है",,,sadhu 1
"00:11:12,959","00:11:19,419","And the duty of a saint is only one, to do good and not to do bad.","और साधू का कर्म एक ही है, भलाई करना न कि बुरा करना",,,sadhu 1
"00:11:19,693","00:11:24,619","Like these days, these hypocrites have become saints.",जैसे कि आज कल लगा लीजिये ये पाखंडी जो है ये साधू बने हुए हैं,,,sadhu 1
"00:11:26,067","00:11:31,834","They do not even know what the Guru Mantra is, that the Guru gives.","उन्हें ये तक नहीं पता होता कि गुरु जो मन्त्र देते हैं, वो गुरु मन्त्र क्या होता है",,,sadhu 1
"00:11:32,660","00:11:36,347",whatever they are practicing,जिस चीज़ की भी वो साधना कर रहे हैं,,,sadhu 1
"00:11:36,967","00:11:42,587","Our Shiv Shankar, our Kali Mata, our Balaji Maharaj who is our Bajrangbali Ji.","हमारे शिव शंकर हैं, हमारी काली माता है, हमारे बालाजी महाराज हमारे बजरंगबली जी हैं",,,sadhu 1
"00:11:43,557","00:11:46,350","So see, every guru has some mantra.",तो देखिए हर गुरु का कोई न कोई मन्त्र होता है,,,sadhu 1
"00:11:47,624","00:11:58,244","Be it of practice, or of meditation, or of distress, or of the wrath of some alien wind.","चाहे वो साधना का है, या वो ध्यान का है, या वो संकट का है,या वो कोई ओपरी-पराई हवा का कोई प्रकोप का है",,,sadhu 1
"00:11:59,287","00:12:02,414",So the saint has a solution to every problem,तो साधू के पास हर समस्या का समाधान होता है,,,sadhu 1
"00:12:04,068","00:12:10,081",so like his whole life,तो जैसे कि उसका पूरा ही जीवन,,,sadhu 1
"00:12:10,878","00:12:19,151","His life ends in his bhajans, meditation, whatever he is working on while travelling.","अपने भजन, ध्यान, अपने भ्रमण पर जिसपर वो कार्य कर रहे हैं, उसमें ही जीवन उसका समाप्त हो जाता है",,,sadhu 1
"00:12:19,209","00:12:23,515",interview: inaudible due to background noise,interview: inaudible due to background noise,,,sadhu 1
"00:12:23,602","00:12:33,556","Interview: Okay, leave all this and tell us about sacrifice, how difficult was it for you to sacrifice, how difficult was it to move away from attachment and things?","interview: अच्छा ये सबछोडिए और त्याग के बारे में बताइए, त्याग करना कितना मुश्किल रहा आपके लिए, मोह-माया से दूर जाना कितना मुश्किल रहा ?",,,sadhu 1
"00:12:33,581","00:12:40,742","baba: Yes, it is not so, attachment is not a very powerful thing.","baba: जी, ऐसा नहीं है , मोह-माया कोई ज्यादा बड़ी पावरफुल चीज़ नहीं है",,,sadhu 1
"00:12:41,270","00:12:46,057","It's not like, humans think we can't live without it.","जैसे कि मनुष्य सोचता है कि हम इसके बिना नहीं रह पाएंगे, ऐसा कुछ भी नहीं है",,,sadhu 1
"00:12:46,402","00:12:54,468","What does a human being need properly in the morning - food, tea, water","मनुष्य को अच्छाई रूप से क्या चाहिए सुबह - भोजन, चाय, पानी",,,sadhu 1
"00:12:55,645","00:13:01,318","What his body needs, that is what a saint needs, a human being needs.","जो की शरीर को चाहिए, वो ही साधू को चाहिए, वही इंसान को चाहिए",,,sadhu 1
"00:13:01,825","00:13:09,179",If a person is not satisfied with food,अगर इंसान भोजन से संतुष्ट नहीं है,,,sadhu 1
"00:13:10,449","00:13:14,315",So I don't know how many different routes he takes.,तो वो पता नहीं कितने तरह-तरह के रास्ते पकड़ लेता है,,,sadhu 1
"00:13:18,442","00:13:19,109",baba clearing his throat,baba clearing his throat,,,sadhu 1
"00:13:19,929","00:13:24,256","According to me, I mean this is what I have seen","मेरे हिसाब से तो, मतलब ये मैंने देखा है",,,sadhu 1
"00:13:27,129","00:13:34,883","We have spent a lot of our parents' money, and we have also earned a lot of money.","पैसा हमने बहुत खर्च भी किया है माता-पिता का, और पैसा हमने कमाया भी है बहुत",,,sadhu 1
"00:13:37,073","00:13:42,153",means we still stayed away from all the attachments,मतलब फिर भी हम मोह-माया से दूर ही रहे,,,sadhu 1
"00:13:42,407","00:13:49,801","Meaning in life, suppose we took 500 rupees from someone and told him that we will return it tomorrow.","मतलब जिंदगी में मान लो जैसे हमने किसी के 500 रूपए ले लिए, उसे बोल दिया की कल दे देंगे",,,sadhu 1
"00:13:50,894","00:13:55,901","That's an attachment, it's called attachment","वो एक मोह है, उसे कहते हैं मोह",,,sadhu 1
"00:13:56,002","00:14:03,008","Which leads a person towards attachment, and then he is unable to come back to this side.","जो इंसान को मोह की तरफ ले जाता है, और फिर वो इस तरफ आ नहीं पाता",,,sadhu 1
"00:14:03,593","00:14:12,767","Our work is not like that, if we are taking money from someone then we pay it on time.","हमारा कार्य ऐसा नहीं है, हम किसी से अगर पैसे ले रहे हैं तो उसका समय पर ही भुगतान कर देते हैं",,,sadhu 1
"00:14:13,790","00:14:16,603",So we have no attachment to that thing,तो हमारा उस चीज़ से कोई मोह नहीं है,,,sadhu 1
"00:14:19,353","00:14:30,260","And see, it is nothing like that, my father also has a shop, I have my own plot, we have also built a nice house.","और देखिए ऐसा भी कुछ नहीं है, पापा जी की भी शॉप है, हमारा खुद का प्लाट है, अच्छा घर भी बना रखा है",,,sadhu 1
"00:14:31,603","00:14:34,736",We were satisfied with everything in our life,सब चीज़ों से हम अपने जीवन में संतुष्ट थे,,,sadhu 1
"00:14:36,717","00:14:43,830","But one night there came a time, I was sleeping and was in a very deep sleep","लेकिन एक रात ऐसा समय आया, हम अपनी नींद में थे और बहुत गहरी नींद में  थे",,,sadhu 1
"00:14:46,384","00:14:56,124","So as soon as I woke up, sweat appeared on My forehead, and I felt shivers all over my hands and feet.","तो हम जैसे ही उठे, हमारे माथे पर पसीना आया, और पूरे हाथ पैर, पूरे शरीर में कपकपाहट छूट गई",,,sadhu 1
"00:14:56,605","00:15:00,458",At that time it was around two or quarter past two.,उस समय तकरीबन दो या सवा दो का टाइम था,,,sadhu 1
"00:15:00,974","00:15:03,974","I got scared, I was alone in my room","हम घबरा गए, हम अपने कमरे में अकेले थे",,,sadhu 1
"00:15:05,084","00:15:12,811","So I chanted Lord Shiva, I chanted the name Om.","तो मैंने शिव शंकर भगवान् का जाप किया, ॐ नाम का जाप किया हमने",,,sadhu 1
"00:15:14,028","00:15:25,248","And as we continued chanting, our problems became easier, as if our body was in some problem, in some pain, we did not know what overpowered us and what did not.","और जैसे ही हम जाप करते गए, हमारी मुश्किलें आसान होती गई, जैसे हमारा शरीर कुछ प्रॉब्लम में था, कुछ कष्ट में था, हमें नहीं पता हमारे ऊपर क्या हावी हुआ क्या क्या नहीं हुआ",,,sadhu 1
"00:15:25,513","00:15:33,445","When we chanted Om name of Lord Shiv Shankar, gradually our body also got cured.","हमने शिव शंकर भगवान् का ॐ नाम का जाप किया, तो हमारा धीरे धीरे शरीर भी ठीक हुआ",,,sadhu 1
"00:15:33,532","00:15:41,811","Our mind became clear, our meditation also became better, and our praise also became better.","हमारा मन भी साफ़ हुआ, हमारा ध्यान भी अच्छा हुआ, और हमारा गुणगान भी अच्छा हुआ",,,sadhu 1
"00:15:42,622","00:15:50,948","So whenever I sit alone, I keep singing praises of God and chanting their name.","तो हम जब भी अकेले बैठे होते हैं, तो भगवान् का भजन ही करते हैं, उनका गुणगान करते रहते हैं",,,sadhu 1
"00:15:51,173","00:15:55,280","I use to keep chanting Om, this is the duty and religion of a saint.","ॐ नाम का जाप करते रहते हैं, यही साधू का कर्म और धर्म है",,,sadhu 1
"00:15:57,793","00:16:03,720","nterviewer:And if we know about the deeds of a sadhu, then what is a real sadhu?","nterviewer:और अगर हम साधू के कर्म के बारे में जानें, तो एक असली साधू है क्या?",,,sadhu 1
"00:16:05,894","00:16:14,274",baba: A real saint is one who does not step back from his work and his religion.,"baba: असली साधू वो है, जो अपने कर्म और अपने धर्म से पीछे न हटे",,,sadhu 1
"00:16:15,077","00:16:22,597",Saint is one who gives knowledge,साधू वो जो ज्ञान दे,,,sadhu 1
"00:16:23,573","00:16:26,200",We do not consider the one who does not give knowledge as a saint.,जो ज्ञान न दे उसे हम साधू नहीं मानते,,,sadhu 1
"00:16:26,253","00:16:27,866",nterviewer: How does a saint attain knowledge?,nterviewer: कैसे ज्ञान की प्राप्ति कैसे होती है साधू को  ?,,,sadhu 1
"00:16:27,913","00:16:36,270","baba: See the attainment of knowledge is like..., our sadhana is also like when a child goes to school.","baba: ज्ञान की प्राप्ति देखिए जैसे कि..., हमारी भी साधना ऐसी ही है कि जैसे बच्चा जब स्कूल जाता है",,,sadhu 1
"00:16:38,330","00:16:45,677","He learns there, first of all he is taught discipline there, like getting up and sitting down, yes no","वो वहां सीखता है, सबसे पहले उसे वहां सिखाते हैं discipline, जैसे कि उठाना बैठना, yes no",,,sadhu 1
"00:16:46,384","00:16:49,391","So like this only, this is our rule, our tradition.","तो ऐसा ही हमारा एक रूल है, हमारी परंपरा है",,,sadhu 1
