TIME,TEXT
00:06:18 - 00:06:32,What do you think that human connection looks like in teaching? What do you think that impact of that human connection does for the learner experience? Dr
00:06:32 - 00:06:59,"Hosman: I think it goes back to the- So, another story that I tell frequently at the beginning of my presentations is how there was a laptops initiative globally, and the idea behind it was give a kid a laptop, they'll teach themselves everything they need to know and no more teachers necessary-"
00:07:00 - 00:07:35,"-and how I didn't buy that for a second because there's a reason that we send kids to school and it has everything to do with socialization with other kids, with learning how the society is set up, with looking to a teacher, and that there might be respect for authority that's built, and among the many teachers and the administration, and youÕd learn that society operates in this way"
00:07:35 - 00:07:40,"So, raising a kid via technology is something out of sci-fi"
00:07:40 - 00:07:44,But- IÕm going down a bad path here
00:07:44 - 00:07:50,But there's a reason that we still send kids to school
00:07:50 - 00:07:59,"It has everything to do with learning, socialization, community matters, and it always will because of how humans are."
00:08:00 - 00:08:08,"So, there's something unmissable about community and about being with other people because that's the kind of creatures that human beings are"
00:08:08 - 00:08:14,I really still don't think I'm addressing that particular question of the impact
00:08:14 - 00:08:22,"Alison: I think you are, because you're talking about how also learning spaces aren't just in schools, right? They're everywhere"
00:08:22 - 00:08:28,"They're from maybe a sports team, to your parents at home, maybe a neighbor, right? Dr"
00:08:28 - 00:08:29,Hosman: Yes
00:08:29 - 00:08:34,Alison: It's that sense of community that really can form a person
00:08:34 - 00:08:42,Was there anyone in your community growing up outside of maybe your standard teaching space in school that really- Dr
00:08:42 - 00:08:46,"Hosman: Yes, absolutely.Ê Alison: Can you tell me about that?Ê Dr"
00:08:46 - 00:08:47,Hosman: Yes
00:08:47 - 00:08:54,So I was a diver in middle school and high school on the swimming and diving team
00:08:54 - 00:09:00,"And our diving coach was so influential in my life, such a fantastic role model-"
00:09:00 - 00:09:14,#NAME?
00:09:14 - 00:09:17,And I think I knew it at the time
00:09:17 - 00:09:27,But another thing about role models is sometimes you don't realize that it's happening until it's over and you've grown and matured so much after that
00:09:27 - 00:09:47,"And so, one more aspect of service, I guess I would say in any profession, be it as a nurse or a minister or a teacher or even a parent, you may never know the impact that you're going to have on any- Sorry, there was a fly right there"
00:09:47 - 00:09:59,"You may never know the impact that you're going to have on a given individual, but that's all the more reason that you have to be a role model all the time,-"
00:10:00 - 00:10:13,-give 110% of your commitment to any given project that you work on because you truly never know the impact that you're going to have on whom you're going to have it
00:10:13 - 00:10:21,Alison: And why do you think it's so important that youth all over the world have role models? Dr
00:10:21 - 00:10:47,"Hosman: Well, there is this phrase, ÔIf you can see it, you can be it.Õ I've actually- That's always robbed me the wrong way because there always has to be a first person for everything, and if you had to see it to be it, then [chuckle] we would lose all hope because there would never be any path trailblazers"
00:10:47 - 00:10:57,"So we're always going to need trailblazers and that's the scary part, and that's- I mean, that's part and parcel of being a role model"
00:10:57 - 00:10:59,"Having said that, I do-"
00:11:00 - 00:11:27,"The phrase does also resonate with me because it's very true, for example, with women in politics, just as one example, there is a whole lot to be sad for, if you are expecting that gender parity will be reached in politics and this is a normal thing for females to do is to run for office, then you will see"
00:11:27 - 00:11:34,"So, there is also an aspect of normalizing things, but- I've lost the trail of your question"
00:11:34 - 00:11:42,Can you ask it again? Alison: Why do you think it's important that youth around the world- Dr
00:11:42 - 00:11:44,Hosman: Have role models
00:11:44 - 00:11:47,"Oh, my goodness, go away"
00:11:47 - 00:11:59,"But role models are also going to inspire people to be their best, the best that they can be, and to break through barriers that they may be facing."
00:12:00 - 00:12:16,"So on the one hand, it's important to be a role model because you never know who you're going to be inspiring, and on the other hand, people need role models, full stop, you know, without question"
00:12:16 - 00:12:25,And I think that it actually elevates all of us in society being the best version of ourselves
00:12:25 - 00:12:26,Alison: Yeah
00:12:26 - 00:12:32,So we're going to take it a little bit into a different direction
00:12:32 - 00:12:40,But I do hope to kind of come back in to some of the things that you had mentioned
00:12:40 - 00:12:46,Something very influential for you was a physical brick and mortar type library
00:12:46 - 00:12:50,And now Solar Spell is this digital library
00:12:50 - 00:12:59,"Do you think the need for that physical library is still worth investing in, if bringing things into the digital age,-"
00:13:00 - 00:13:05,"-like a library, maybe is the future? Where's that balance? Dr"
00:13:05 - 00:13:24,Hosman: I think finding a balance can be a beautiful thing and a hybrid situation between a physical library and a digital library is in fact exactly where the libraries in Western countries are right now
00:13:24 - 00:13:35,"So in the United States, Canada, Western Europe, Europe, we have brick and mortar libraries that are offering digital libraries"
00:13:35 - 00:13:41,"So, for my part, that's a beautiful hybrid situation to have"
00:13:41 - 00:13:59,"One of the reasons that at Solar Spell we've been pursuing the digital route is because it can bring information more easily, more freely, more inexpensively to places that don't have brick and mortar libraries."
00:14:00 - 00:14:12,"But then the challenge is, there's frequently not a reading culture when you don't have a brick and mortar library and haven't had one ever in a community"
00:14:12 - 00:14:22,"So for sure, for certain, an approach that's digital first is not without its challenges, but it's going to have different challenges"
00:14:22 - 00:14:43,"So the two can go very nicely hand in hand, very synergistically, because it's very nice to have a physical space, a safe space, a- WhatÕs was the right word that I'm looking for? One's own space of- I am not finding the word I'm looking for"
00:14:43 - 00:14:50,"But traditionally, libraries have also been- I'll find it when we're done with this interview"
00:14:50 - 00:14:51,IÕll tell you
00:14:51 - 00:14:59,"Places of- The only word that's coming to me is Zen, and that's not the word I'm looking for."
00:15:00 - 00:15:08,"Please feel free to help me if you are finding this word that I'm looking for, like serenity and- Alison: I don't know"
00:15:08 - 00:15:12,Let's try to approach the sentence a different way [laughter]
00:15:12 - 00:15:12,Dr
00:15:12 - 00:15:13,Hosman: Yes
00:15:13 - 00:15:33,"But I mean, libraries are also traditionally a place of community, so people often come together there to have activities, for example, that take place, organized community activities, whether it's to tell the community, hey, let's get together and rally to have this happen, or whether it's seniors dark night, I don't know"
00:15:33 - 00:15:43,"I'm coming up with ideas, but there are kids reading hour and again you learn about becoming part of a community, being part of a community"
00:15:43 - 00:15:47,So there is a beauty to having a physical library
00:15:47 - 00:15:52,But I also believe that we can build community with a digital library
00:15:52 - 00:15:59,"That's one of the reasons that we started working at schools, because schools that didn't have libraries could use a library."
00:16:00 - 00:16:13,"And frequently there can be a physical space made at a school that is a safe space, a welcoming space, a place where anybody can come and feel welcomed if it's not during the school day, it's also open for community members"
00:16:13 - 00:16:20,"Alison: Now that's very interesting, that's something that I feel like we talked so much about the digital space with this, with libraries"
00:16:20 - 00:16:25,"I was just curious, what is your perspective on- I have a very random question"
00:16:25 - 00:16:29,"Do you have a library card, to your local library? Dr"
00:16:29 - 00:16:31,"Hosman: No, not to my local library"
00:16:31 - 00:16:39,"I have in the past, but interesting enough, no, I mean, I can tell you about how I've had library cards everywhere I've lived"
00:16:39 - 00:16:43,"But today, no, I've lived in Phoenix since 2016, so six years now"
00:16:43 - 00:16:47,And I don't have a library card for Phoenix nor for Tempe
00:16:47 - 00:16:47,Alison: Yeah
00:16:47 - 00:16:51,"I mean, well I guess you have access to the ASU library"
00:16:51 - 00:16:51,Dr
00:16:51 - 00:16:53,Hosman: This is true
00:16:53 - 00:16:53,Yes
00:16:53 - 00:16:59,"So on that note, I absolutely have my ASU library card and I have checked out books at ASU Library."
00:17:00 - 00:17:09,"Alison: Cool, I just got a library card for the Tempe Library, and that's like one of my most favorite places to go study"
00:17:09 - 00:17:31,"And I think it is really incredible to see this lots of lives that walk through that door, whether it be people with their small children all coming in for a reading hour or others doing research who might not have access to that technology side to do it in a computer lab"
00:17:31 - 00:17:35,So now I really enjoy going to the local library
00:17:35 - 00:17:39,It's also easier parking in the night there [laughter]
00:17:39 - 00:17:40,Dr
00:17:40 - 00:17:43,"Hosman: Yes, free parking.Ê Alison: Free parking [00:17:41] [inaudible]"
00:17:43 - 00:17:48,WeÕre going to wait for a monster truck to go by
00:17:48 - 00:17:48,Dr
00:17:48 - 00:17:51,"Hosman: Luckily, they're never coming this way"
00:17:51 - 00:17:52,Alison: Yeah
00:17:52 - 00:17:52,Dr
00:17:52 - 00:17:58,"Hosman: It's just back and forth, back and forth.Ê Alison: ItÕs a busy man"
00:17:58 - 00:17:59,Dr
00:17:59 - 00:17:59,Hosman: Yeah.
00:18:00 - 00:18:00,Alison: Okay
00:18:00 - 00:18:11,"So, a big aspect of your presentation and I'm still on Solar spell, is information literacy and access to information as a human right"
00:18:11 - 00:18:31,"Where did that stem for you holding, that deep belief that the most important skill someone can have is information literacy? And the way that you do that is by having information, be something that is a human right for everyone, no matter where they are"
00:18:31 - 00:18:31,Dr
00:18:31 - 00:18:37,"Hosman: Well, believe it or not, it didn't happen at the beginning of Solar Spell"
00:18:37 - 00:18:49,It's something that has developed over time as I've worked on this initiative and it goes to the heart of the question of what is development
00:18:49 - 00:18:54,It also has a lot to do with Amartya SenÕs capabilities approach
00:18:54 - 00:18:59,How do we know what we're capable of? How do we define development?
00:19:00 - 00:19:14,"How do we define empowerment of people? And the more that I would think about it, the more I would think, okay, it comes through education and you need to have access to quality education"
00:19:14 - 00:19:28,"That's part of the teacher and the student or teachers and students, we learn from each other, but at the end of the day, there's no such thing as quality education without access to information"
00:19:28 - 00:19:43,"And when I was going to the places where we were working, I was very slowly realizing the more and more schools that I was visiting, how difficult it was to get access to information"
00:19:43 - 00:19:51,And I was one of the people who started helping build out Internet to places that didn't have it before
00:19:51 - 00:19:59,"And then I started seeing what people were using the Internet for and realized this is not empowering, this is disempowering."
00:20:00 - 00:20:15,Because they're getting exposed to a corporate version of the Internet that's brought to them by for-profit technology companies based in another country that don't care about empowering them and really have no mandate to care about empowering them
00:20:15 - 00:20:18,They're a for-profit company that cares about making profits
00:20:18 - 00:20:23,It's actually not fair to ask them to build people's human rights
00:20:23 - 00:20:26,It's not what they were formed to do
00:20:26 - 00:20:38,"Having said that, so they're getting tiny little sips of access to this thing we call the Internet, and when you get a sip of something, it turned out it was social media"
00:20:38 - 00:20:55,"For-profit social media that is designed to keep you on the website as long as humanly possible so that they can extract as much information out of you as they can, so that they can sell ads to keep you on even longer"
00:20:55 - 00:20:59,But nobody who's going online for the very first time knows that.
00:21:00 - 00:21:06,"And for many of us, it took us years to figure it out and we used it for years"
00:21:06 - 00:21:13,"And now a lot of us are coming to see what that can look like seven, eight, ten years later"
00:21:13 - 00:21:15,And we don't like it
00:21:15 - 00:21:18,And we're using social media less and less
00:21:18 - 00:21:23,"But there's still a huge burgeoning market across the developing world, where people don't realize that"
00:21:23 - 00:21:26,Where people are getting online for the first time
00:21:26 - 00:21:33,"And to be honest, of course there's a benefit to social media or there wouldn't be billions of people using it"
00:21:33 - 00:21:40,"It's the fact that what- The skills that people are building through usage of social media, those are skills"
00:21:40 - 00:21:44,"So let's not kid ourselves, let's take advantage of those"
00:21:44 - 00:21:47,But let's try to use them to empower people
00:21:47 - 00:21:55,And so let's figure out what those skills are that they're building and see if we can also build empowering skills like information literacy
00:21:55 - 00:21:59,Because when you're connecting to social media and the social media is determining-
00:22:00 - 00:22:27,"-all of the information that you're seeing, instead of you having enough experience in life to know how to assess information, to know whether something was trustworthy or fake or designed to rile you up, to keep you online longer, or to ask what the source of this information was and can you trust it"
00:22:27 - 00:22:43,"Those are the kind of skills that we can teach through a library and through schools and through working with educators, you know, be they agricultural extension agents or faculty at a nursing school"
00:22:43 - 00:22:55,"Going and empowering educators to empower others, is a very powerful way to build people skills over the longer term, I would say"
00:22:55 - 00:22:59,Back to the question at the origin of this ramble.
00:23:00 - 00:23:24,It was a process of figuring out how to empower people with information so that they could empower others and make informed decisions that that would increase their own capabilities and increase their own empowerment ability to make informed decisions
00:23:24 - 00:23:31,Alison: So how does Solar Spell embrace Amartya SenÕs capabilities structure? Dr
00:23:31 - 00:23:59,"Hosman: I think back to the example of the young woman in a small community who was saying that when she reads, her mind is more open, she feels good about herself, she feels freer, that we know that knowledge and education has this improving quality-"
00:24:00 - 00:24:03,#NAME?
00:24:03 - 00:24:34,"So, having access to information means being able to make more empowering decisions about one's life, and it can very well also mean that you are inclined to help others feel that same way and empower themselves, become lifelong learners who can make intelligent decisions based on information"
00:24:34 - 00:24:37,Alison: Now that's wonderful
00:24:37 - 00:24:52,"What do you believe the role of technology is, in development? We've been focusing so hard on the human aspect and human connection"
00:24:52 - 00:24:59,"However, something like a Solar Spell library carried inside a device, does-"
00:25:00 - 00:25:03,#NAME?
00:25:03 - 00:25:09,"So, where is that line? What is the role of technology in that? Dr"
00:25:09 - 00:25:16,Hosman: I think that there will always be somewhat of a dilemma when introducing technology
00:25:16 - 00:25:27,And technology is only going to bring more benefit than harm when it's being plugged into a situation that's already working or empowering people
00:25:27 - 00:25:47,"At Solar Spell, we've worked hard to introduce this library into places where education is already happening, and again, I mean, that can be in schools, that can be in- We just had the training with a nursing college and a university"
00:25:47 - 00:25:51,It can also be with agricultural extension agents
00:25:51 - 00:25:59,But basically where education and where training are already happening is where we have tried to introduce this library-
00:26:00 - 00:26:10,#NAME?
00:26:10 - 00:26:12,"See yah, you'll figure it out; ever"
00:26:12 - 00:26:29,"Because the human part of it is so important, and in fact, I haven't been talking about technology yet because there is such a propensity out there to focus on the technology and not on the development part of the human aspect of it"
00:26:29 - 00:26:42,"So, if we went all the way back to the beginning of my story, it was realizing this artificial emphasis that people place on technology so often we want a shortcut, we want an instant fix"
00:26:42 - 00:26:53,"It's because technology has brought us the ability to change so quickly, and so we're always looking for that quick fix or shortcut, and that's not how slow growth happens"
00:26:53 - 00:26:55,It's not how empowerment happens
00:26:55 - 00:26:59,"It's definitely how technology spreads, but we forget that human beings don't learn-"
00:27:00 - 00:27:04,#NAME?
00:27:04 - 00:27:17,"There's the idea that in order to become an expert at something, you need to do it for 10000 hours and somehow we want to be able to do it once and be an expert"
00:27:17 - 00:27:25,"And, you know, anyone who's ever truly mastered a skill or an art knows that you don't master it after one try"
00:27:25 - 00:27:33,Alison: And what do you think are the biggest contributing factors towards why humans are looking for that quick fix? Dr
00:27:33 - 00:27:41,"Hosman: So, I'm going to answer, I think, what is- When would it be your last questions on the page? Warning here"
00:27:41 - 00:27:41,Alison: Okay
00:27:41 - 00:27:42,ThatÕs okay
00:27:42 - 00:27:47,You've been doing a great job at like knowing what- [laughter] Dr
00:27:47 - 00:27:50,"Hosman: Well, you let me read them ahead of time"
00:27:50 - 00:27:55,"So one of the biggest challenges that I see, it's an ongoing challenge"
00:27:55 - 00:27:59,And one of the biggest lessons that I've learned in this work-
00:28:00 - 00:28:04,#NAME?
00:28:04 - 00:28:30,"Double edged sword, as there are so many things, but it is one of the aspects of human nature that allows us to move forward, that allows us to go to the moon and harness the power of the sun and never be satisfied with where we are right now, we're always looking for the next thing, and that is part of human nature because we, some of us, can take for granted so many things"
00:28:30 - 00:28:38,"You know, you turn on a light switch, you don't have to think about where the electricity is coming from, and so you don't"
00:28:38 - 00:28:59,"And you don't have to remember to tie your shoes every morning and the list goes on, there are a truly infinite number of things that we don't have to take for granted, and so we don't, but the challenge comes when we're working with or trying to bring benefit in an empowering way to people who cannot and do not take for granted-"
00:29:00 - 00:29:19,"-all of the things that some people can, and so there's there is vast inequality in the world and we know this, but figuring out how to work together with, across cultures, across capabilities, languages, time and space"
00:29:19 - 00:29:43,"One of the things that has been another challenge with Solar Spell is the inability to travel during the entire pandemic has meant that- Maybe to put it in a different way, Solar spell seems to only truly- Wait, let me put it differently than that"
00:29:43 - 00:29:53,People truly get Solar Spell when we're in the room with them and they connect to the library themselves
00:29:53 - 00:29:59,So not being able to travel for three years during the pandemic-
00:30:00 - 00:30:05,#NAME?
00:30:05 - 00:30:21,"And while that was very frustrating, we were able instead to do some introspection and say, okay, what could we do to improve the entire initiative while we're grounded? So we had some really great ideas"
00:30:21 - 00:30:44,"And honestly, you have to look at a challenge and say, how can I turn this into an opportunity? So it's been quite amazing to be able to now finally travel to the Lesotho, to Malawi, soon to Zimbabwe, and to be giving these in-person trainings, which is so rejuvenating to remember"
00:30:44 - 00:30:59,"This is why I'm doing it, to be able to see the excitement that people have for the first time, to have access to all of this information that they didn't have before."
00:31:00 - 00:31:44,"I guess that I could bring it back to the wonder of being a child and going into a library and knowing I could pick any of these books eight at a time or ten at a time and bring them home and read them and go to all these different worlds that they would bring me to because somebody had taken all of that time to curate, to especially choose all of these different books out of the universe of books that there were out there, that a little four year old me was going to love, and so there is a very similar feeling when we were giving a training and the teachers, the trainees, the trainees connect to the library for the very first time and they see this world of information that has been curated specially for them"
00:31:44 - 00:32:00,"That's why we do what we do and to know that because of that inspiration that they feel and that excitement, they are going to go on and have such a bigger impact on all of the lifelong learners, be the students, nurses, you fill in the blank, community members,-"
00:32:00 - 00:00:00,-all of these people that they're going to touch in their lives.
