,Start Time,End Time,EN,ES,Highlight,Comments,Interview
61,00:18,00:21,In Nazareth or township of Nazareth as they call it,En Nazareth o corregimiento de Nazareth como le dicen,,,dunas
62,00:22,00:30,"We are in the territory of Usijou´, in Alewalü.
I don't know if you've heard that it's a sacred place.","Estamos en el territorio de Usijou´, en Alewalü.
No se si has escuchado de que es un lugar sagrado.",,,dunas
63,00:31,00:36,"Yes, it is the only one with some characteristics
different natural","Si, es el único con unas características
naturales diferentes",,,dunas
64,00:39,00:45,Yes of course. My grandmother and my mother's grandmother were from here.,Si claro. De aquí era mi abuela y la abuela de mi mamá,,,dunas
65,00:47,00:51,"Where is the sea? If over there, from here you can see the sea","¿Por dónde está el mar? si por allá, de aquí se ve el mar",,,dunas
66,00:52,00:56,"Yes it's true.
Yes, they lived here","Si es verdad.
Si, ellos vivían aquí",,,dunas
67,00:57,01:01,"But is the sea far from here? Yes, it's far away.","¿pero el mar esta lejos de aquí? Si, está lejos.",,,dunas
68,01:02,01:09,"They said they moved, they had left their
things as you can see","Ellos dijeron que se mudaron, habían dejado sus
cosas como puedes ver",,,dunas
69,01:10,01:18,"There where the pieces of amuchi (ceramics) are,
are their ancestral remains (bone)","Ahí donde están los trozos de amuchi (cerámica),
están sus restos (hueso) ancestrales",,,dunas
70,01:19,01:27,"They decided to go to the seashore because
They say they were already bored here","Ellos decidieron irse para la orilla del mar porque
dicen que ya estaban aburridos aquí",,,dunas
71,01:28,01:33,"Then they left, but they came back again. Yeah. right here","Entonces se fueron, pero regresaron otra vez. Si. Acá mismo",,,dunas
72,01:35,01:42,"This was what you were talking about, right? Yeah.
I can touch it? No. It is prohibited","Esto era de lo que hablabas ¿no? Si.
¿puedo tocarlo? No. Esta prohibido",,,dunas
73,01:43,01:49,"You can't touch it, you can only see it. If you touch it
you can get sick","No lo puedes tocar, solo puedes verlo. Si lo tocas
te puedes enfermar",,,dunas
74,01:51,01:50,"When you touch it you take away the energies of the dead
that can cause you some harm","Al tocarlo te llevas las energías de los muertos
que te pueden provocar algún daño",,,dunas
75,02:00,02:02,Same with your arrival here,Igual con tu llegada aquí,,,dunas
76,02:03,02:09,"TRUE. You had to harmonize with the territory because we
surround the souls of those who lived here","Cierto. Debiste armonizar con el territorio porque nos
rodean las almas de los que vivían aquí",,,dunas
77,02:10,02:18,"This belonged to them right? Yes, that's why their souls
They are here because those are their belongings.","¿Esto pertenecía a ellos no? Si, por eso sus almas
están aquí porque esas son sus pertenencias",,,dunas
78,02:21,02:28,"This was their territory and they said that no one can
take part of this sand","Este era su territorio y ellos decían que nadie puede
llevarse parte de esta arena",,,dunas
79,02:29,02:36,"Then we, the Pausayu, arrived to inhabit it.",Después llegamos nosotros los Pausayu para habitarlo,,,dunas
80,02:37,02:40,I understand. And what did they bring from the sea?,Entiendo. Y ¿Qué fue lo que trajeron del mar?,,,dunas
81,02:41,02:46,"The sand, they threw it here so that it would stay like this","La arena, ellos lo echaban aquí para que quedara así",,,dunas
82,02:47,02:53,"That is, they brought the sand from the beach in
this desert piece","Es decir, que ellos traían la arena de la playa en
este pedazo desértico",,,dunas
83,02:56,03:03,"The old people say that through a dream they were told
to bring the sand from there","Dicen los viejos que a través de un sueño les dijeron
que trajeran la arena de allá",,,dunas
84,03:04,03:07,"I'm telling you so you can say it, this part
then they cut it","Te lo digo para que lo digas, esta parte
después lo cortan",,,dunas
85,03:08,03:12,"Guille said that in the dream they were told
the next","Guille decía que en el sueño a ellos les dijeron
lo siguiente",,,dunas
86,03:13,03:18,"That, if they loved this land so much, they could bring the
earth up to here","Que, si amaban tanto esta tierra, podían traer la
tierra hasta acá",,,dunas
87,03:19,03:26,and that's what they did. This is how this place originated,y eso hicieron. Así es como se origino este lugar,,,dunas
88,03:27,03:34,"You could say that. That started from a dream
and so on","Podrías decir eso. Que comenzó desde un sueño
y así sucesivamente",,,dunas
89,03:39,03:48,"So they brought him here, right? Yeah.
They brought it little by little until it spread","Entonces lo trajeron aquí ¿no? Si.
Lo traían poco a poco hasta que se iba extendiendo",,,dunas
90,03:49,03:58,"As you can see this before this was small, but after
They expanded it up to there","Como puedes ver esto antes esto era pequeño, pero después
lo fueron ampliando hasta por allá",,,dunas
91,03:59,04:05,"Yes, now I understand. How nice to know the history
behind this","Si, ahora comprendo. Que lindo conocer la historia
detrás de esto",,,dunas
92,04:06,04:10,"Yes of course, in fact, all this that is here
It's also beautiful","Si claro, de hecho, todo esto que está aquí
también es bello",,,dunas
93,04:13,04:21,"Yeah. It is very good to make known what
we have because it is part of our Wayuu culture","si. Es muy bueno dar a conocer lo que
tenemos porque es parte de nuestra cultura wayuu",,,dunas
94,04:22,04:29,"You will already know that this place exists in La Guajira, Alewalü
will be recognized by the world","Ya sabrán que en La Guajira existe este lugar, Alewalü
será reconocida por el mundo",,,dunas
95,04:30,04:37,"Through stories like these you will learn not only
the place but its spirituality","A través de historias como estas conocerán no solo
el lugar sino su espiritualidad",,,dunas
96,04:38,04:45,"Since there are also many jewels of
the deceased","Ya que aquí también se encuentran muchas joyas de
los fallecidos",,,dunas
97,04:46,04:52,"That is why it is a sacred place because here are the
things from those who created it","Por eso es un lugar sagrado porque aquí están las
cosas de los que la crearon",,,dunas
98,04:55,05:03,"People say that here in the north is where
are the most sacred places","Las personas dicen que aquí en el norte es donde
están los lugares más sagrados",,,dunas
99,05:04,05:07,And that is why it is important to make them known. Yes of course.,Y por eso es importante darlos a conocer. Si claro.,,,dunas
100,05:08,05:15,"Well, thank you very much for what you shared with us.
Anyway, thanks to you for coming,","Bueno, muchas gracias por lo que nos compartiste.
Igual gracias a ti por venir,",,,dunas
101,05:16,05:20,For coming from so far to know our territory,Por venir desde tan lejos para conocer nuestro territorio,,,dunas
102,05:22,05:29,"After winter it doesn't bloom here? No,
Does it stay like this? Yes of course, it gets wet and that's it","¿Después del invierno no florece aquí? No,
¿se queda así? Si claro, se moja y ya",,,dunas
103,05:30,05:38,"The animals walk and do not get their paws wet.
You see there is no grass. No.","los animales caminan y no se mojan las patas.
Ves que no hay pasto. No.",,,dunas
104,05:39,05:45,"And if it rains a lot? It may rain a lot but still
It does not bloom because it is a sacred place","Y si ¿llueve mucho? Puede que llueva mucho pero igual
no florece porque es un lugar sagrado",,,dunas
105,05:46,05:47,The territory is sacred,El territorio es sagrado,,,dunas
106,05:48,05:55,"That was destined. Yes, that's why they were created
ancestors who saw here","Eso estaba destinado. Si, por eso los crearon los
ancestros que vieron aquí",,,dunas
107,05:56,06:02,"People who come to Nazareth say that their
ancestors are from here too","Las personas que vienen a Nazareth dicen que sus
ancestros son de aquí también",,,dunas
108,06:03,06:11,"Those from Dusakawi (health association) said that their
grandmothers told them that they have ancestors here","Los de Dusakawi (asociación en salud), dijeron que sus
abuelas les dijeron que tienen ancestros acá",,,dunas
109,06:14,06:22,"They say they will come back here again.
Yes, that's OK","Ellos dicen que volverán otra vez por aquí.
Si, eso está bien",,,dunas
110,06:23,06:31,"I think it's good that they come again so that
learn more, we make you climb the mountains","Me parece bien que vengan de nuevo para que
conozcan más, los hacemos subir a las montañas",,,dunas
111,06:32,06:39,"Yes, we have to arrive earlier, look, they are already rushing us. Yes, it's true, it is complex.","Si, tenemos que llegar mas temprano, mira que ya nos están apurando. Si, es cierto, es complejo.",,,dunas
112,06:40,06:47,"Because it is already getting dark and we already have
we have to leave because of how sacred it is","Porque ya se está haciendo de noche y ya tenemos
que irnos por lo sagrado que es",,,dunas
113,06:48,06:50,You are in Alewalü in the Alewalü Dunes,Estas en Alewalü en las Dunas de Alewalü,,,dunas
114,06:51,06:54,Smile smile. Stretch your hands. That,"Sonríe, sonríe. Estira las manos. Eso",,,dunas
115,06:57,07:01,"That, that raise your hands, aha say hello, say hello.","Eso, eso levanten las manos, aja saluda, saluda.",,,dunas
116,07:02,07:03,Alewalu,Alewalü,,,dunas
117,00:03,00:06,We meet at the alatsu stone,Nos encontramos en la piedra de alatsü,,,Neko piedra
118,00:07,00:10,"with an ancient stone that dates back many years,","con una piedra milenaria que data de muchos años,",,,Neko piedra
119,00:11,00:14,"that from our own worldview we can look from what,","que desde nuestra propia cosmovisión podemos mirar desde lo,",,,Neko piedra
120,00:15,00:16,"from the mythological.

00:17: - 00:21
They say that once Maleiwa, the god of the Wayúu,","desde lo mitológico.

00:17: - 00:21
Cuentan que una vez Maleiwa, el dios de los wayúu,",,,Neko piedra
121,00:22,00:23,came down in this place,bajó en este lugar,,,Neko piedra
122,00:24,00:29,"because he was worried about the situation in what
the Wayúu were found","porque él estaba preocupado por la situación en que
se encontraban los Wayúu",,,Neko piedra
123,00:30,00:34,because they had no way to identify themselves within Wayuu society.,porque no tenían cómo identificarse dentro de la sociedad wayuu.,,,Neko piedra
124,00:35,00:39,So he decided to organize a contest with the birds.,Entonces él decidió organizar un concurso con los pájaros.,,,Neko piedra
125,00:40,00:49,"That was where the curlew was, that was where the Zamuro was, there was the
bird they call Pico Gordo, the Utta (dotted bobito)","En eso estaba el alcaraván, en eso estaba el Zamuro, estaba el
pájaro que le dicen Pico Gordo, el Utta (bobito punteado)",,,Neko piedra
126,00:50,00:53,So he decided to organize that contest,Entonces él decidió organizar ese concurso,,,Neko piedra
127,00:54,00:56,to choose,para escoger,,,Neko piedra
128,00:58,01:01,something that would identify the Wayúu people.,algo que identificara al pueblo Wayúu.,,,Neko piedra
129,01:02,01:05,Then Cataneja began to sing and began to sing.,Entonces comenzó la Cataneja a cantar y comenzó a cantar.,,,Neko piedra
130,01:06,01:08,"Toulijana, toulijana, toulijana (anklet)","Toulijana, toulijana, toulijana (tobillera)",,,Neko piedra
131,01:09,01:11,Maleiwa did not like the Cataneja song,A Maleiwa no le agradó la canción de la Cataneja,,,Neko piedra
132,01:12,01:15,Toulijana means that which hangs on the ankles.,Toulijana quiere decir lo que se cuelga en los tobillos.,,,Neko piedra
133,01:16,01:18,And then they called Walusechi,Y luego llamaron a Walusechi,,,Neko piedra
134,01:19,01:22,"and began to sing son'tusu to'i, son'tusu toi, son'tusu","y comenzó a cantar son´tusu to´i, son´tusu toi, son´tusu",,,Neko piedra
135,01:23,01:25,"my feet are cramping, is the translation","se me acalambran los pies, es la traducción",,,Neko piedra
136,01:26,01:30,and Maleiwa did not like the song of the two birds.,y a Maleiwa no le agrado la canción de los dos pájaros.,,,Neko piedra
137,01:31,01:37,"And then Utta, who is the bird, entered
fat beak and began to sing","Y seguidamente entró Utta, que es el pájaro
pico gordo y comenzó a cantar",,,Neko piedra
138,01:38,01:40,"Pushaina with Arpushana, Ipuana with Epieyu.","Pushaina con Arpushana, Ipuana con Epieyu.",,,Neko piedra
139,01:41,01:49,"Sapuana with Ipuana, he began to sing mentioning
those striking words.","Sapuana con Ipuana, él comenzó a cantar mencionando
esas palabras tan llamativas.",,,Neko piedra
140,01:50,01:53,"Then Maleiwa (God) said, I do like that, I do like this.","Entonces Maleiwa (Dios) dijo, eso sí me gusta, esto sí me gusta.",,,Neko piedra
141,01:54,01:55,Let's choose,Vamos a escoger,,,Neko piedra
142,01:56,01:57,"that phrase, those words that","esa frase, esas palabras que",,,Neko piedra
143,01:58,02:01,"that you sang in the song, Pushaina with Arpushana","que entonaste en la canción, Pushaina con Arpushana",,,Neko piedra
144,02:02,02:08,"Ipuana with Epieyu, Sapuana with Ulewana. He highlighted all of those","Ipuana con Epieyu, Sapuana con Ulewana. Todo esos los resaltó",,,Neko piedra
145,02:09,02:10,So from there,"Entonces, a partir de ahí",,,Neko piedra
146,02:11,02:13,"Maleiwa began to distribute to each Wayúu family,","Maleiwa comenzó a distribuirle a cada familia Wayúu,",,,Neko piedra
147,02:14,02:17,"which are the respective clans, with their respective brand","que son los respectivos clanes, con su respectiva marca",,,Neko piedra
148,02:18,02:22,"and in what is now embodied in stone,","y en lo que se encuentra ahora plasmado en la piedra,",,,Neko piedra
149,02:23,02:26,that from the mythological part.,ese desde la parte mitológica.,,,Neko piedra
150,02:26,02:31,"Now, if we go back in history","Ahora, si nos remontamos en la parte histórica",,,Neko piedra
151,02:32,02:36,we can realize that the word Jeerü,podemos darnos cuenta que la palabra Jeerü,,,Neko piedra
152,02:37,02:40,In wayunaiki (wayuu language) it comes from herraje,En wayunaiki (lengua wayuu) proviene de herraje,,,Neko piedra
153,02:41,02:43,Jeerü comes from horseshoe.,Jeerü viene de herraje.,,,Neko piedra
154,02:44,02:48,"We know very well that livestock farming is not typical of the Wayúu,","Sabemos muy bien que la ganadería no es propia del Wayúu,",,,Neko piedra
155,02:49,02:51,but they were brought by the colony.,sino que fueron traídos por la colonia.,,,Neko piedra
156,02:52,02:56,"So what is the cow, what is the goat","Entonces lo que es la vaca, lo que es la cabra",,,Neko piedra
157,02:57,03:00,"They are not our own, but we as a Wayuu people","no son propios, pero nosotros como pueblo wayuu",,,Neko piedra
158,03:01,03:04,"We adopt it and give it a name,","lo adoptamos y le damos una denominación,",,,Neko piedra
159,03:05,03:07,we use the label,utilizamos la marquilla,,,Neko piedra
160,03:08,03:11,"like Jeerü , which is horseshoe","como Jeerü, que es herraje",,,Neko piedra
161,03:12,03:17,"also the words, if we can analyze ourselves
the ear cutting of animals.","también las palabras, si nosotros nos podemos analizar
el corte de oreja de los animales.",,,Neko piedra
162,03:18,03:23,"It comes from asu'araluja which is the word in wayunaiki
or point in Spanish","Viene de asu´araluja que es la palabra en wayunaiki
o señalar en español",,,Neko piedra
163,03:24,03:30,"There is no original word of its own that comes from
Wayúu people, but it was a product","No hay una palabra propia original que provenga del
pueblo Wayúu, sino que fue producto",,,Neko piedra
164,03:31,03:34,of Spanish domination when they brought us livestock,de la dominación española cuando nos trajeron la ganadería,,,Neko piedra
165,03:35,03:36,and we realize.,y nos damos cuenta.,,,Neko piedra
166,03:37,03:39,"But the Wayúu, since he is so creative,","Pero el Wayúu, como es tan creativo,",,,Neko piedra
167,03:40,03:43,"It is a town that adapts, that adjusts","es un pueblo que se adapta, que se ajusta",,,Neko piedra
168,03:44,03:46,"to all the circumstances,","a toda la circunstancia,",,,Neko piedra
169,03:47,03:53,"He captured it in his myth and we adopted it as our origin,","lo plasmó en su mito y lo adoptamos como nuestro origen,",,,Neko piedra
170,03:53,03:56,"about the symbology of the Wayuu people,","sobre la simbología del pueblo wayuu,",,,Neko piedra
171,03:57,03:59,"That's what the oral tradition tells,","eso es lo que cuenta la tradición oral,",,,Neko piedra
172,04:13,04:19,"Yes, of course, that is the rock that tells the origins
of the Wayuu people.","Sí, claro, esa es la roca que cuentan los orígenes
del pueblo wayuu.",,,Neko piedra
173,04:21,04:23,"Well, this is the stone of Alatsu,","Bueno, esta es la piedra de Alatsü,",,,Neko piedra
174,04:24,04:27,"which tells about the origins of the clans,","que cuenta sobre los orígenes de los clanes,",,,Neko piedra
175,04:28,04:30,"What clans are, it's like a","que son los clanes, es como una",,,Neko piedra
176,04:31,04:34,classification within Wayuu society,clasificación dentro de la sociedad wayuu,,,Neko piedra
177,04:35,04:41,"There are around 22 clans currently, but
Previously there were other clans.","existen alrededor de 22 clanes actualmente, pero
anteriormente había otros clanes.",,,Neko piedra
178,04:42,04:48,"We can give an approximate of 32 clans that existed
previously,","Podemos dar un aproximado de 32 clanes que existía
anteriormente,",,,Neko piedra
179,04:49,04:53,"but that, due to various circumstances, due to problems
of inter claníles","pero que, por diversas circunstancias, por problemas
de inter claníles",,,Neko piedra
180,04:54,05:03,"many of those clans disappeared and became extinct
for some, some war","muchos de esos clanes desaparecieron y se extinguieron
por alguna, alguna guerra",,,Neko piedra
181,05:04,05:06,"and due to various circumstances
Those clans disappeared.","y por diversas circunstancias se
desaparecieron esos clanes.",,,Neko piedra
182,05:07,05:10,But currently there are 22 clans in force.,Pero en la actualidad hay vigentes 22 clanes,,,Neko piedra
183,05:11,05:17,"which are what is currently and are present
throughout the department of La Guajira.","que son los que actualmente y se encuentran presentes
por todo el departamento de La Guajira.",,,Neko piedra
184,06:12,06:17,"Well teacher, I come from Alkualü, Manaure","Bueno profe, yo vengo de Alkualü, Manaure",,,Neko piedra
185,06:21,06:23,"To learn more about the culture, and where","Para conocer mas sobre la cultura, y de donde",,,Neko piedra
186,06:25,06:30,"It comes from the story that our
ancestors about our symbols","Proviene la historia que compartían nuestros
ancestros sobre nuestras simbologías",,,Neko piedra
187,06:38,06:42,"So, for you to tell me again, but in wayunaiki","Entonces, para que me cuentes otra vez, pero en wayunaiki",,,Neko piedra
188,06:44,06:48,"About God, yes, that started from
maleiwa concern","Sobre lo de Dios, si, eso empezó desde la
preocupación de maleiwa",,,Neko piedra
189,06:49,06:55,"He felt sad, because people were
disorganized, they looked like animals","Se sentía triste, porque las personas estaban
desorganizados, parecían animales",,,Neko piedra
190,06:56,07:02,"There was no organization or structure that
classify families","No había una organización o una estructura que
clasificara a las familias",,,Neko piedra
191,07:03,07:07,"So that's where the birds called,
like the buzzard, like utta","Entonces ahí fue donde llamaron las aves,
como el gallinazo, como utta",,,Neko piedra
192,07:11,07:16,"and others, like them or the birds, were before people, yes, true.","y otros, como ellos o las aves antes eran personas, si cierto.",,,Neko piedra
193,07:17,07:22,"So he decided to have a singing contest.
to choose the best","Entonces decidió hacer un concurso de canto
para escoger al mejor",,,Neko piedra
194,07:25,07:29,"Since the names they choose will remain as a legacy
to future generations","Ya que los nombres que escojan quedaran como legado
a las futuras generaciones",,,Neko piedra
195,07:30,07:32,They will be your family lineages,Serán sus linajes familiares,,,Neko piedra
196,07:33,07:36,"Then the other sang and he didn't like it,
the other one too and he didn't like it either","Entonces el otro cantó y no le gustó,
el otro también y tampoco le gustó",,,Neko piedra
197,07:37,07:40,The only song he liked was Utta's,El único canto que le gusto fue el de Utta,,,Neko piedra
198,07:41,07:48,"He liked the words Pushaina, Ipuana, Epieyu
God liked all the ones he mentioned","le gusto las palabras Pushaina, Ipuana, Epieyu
todas las que mencionó le gusto a Dios",,,Neko piedra
199,07:49,07:50,for the song,Por el canto,,,Neko piedra
200,07:51,07:57,"Its reward was a necklace, which is why the bird has
a line down his neck, yes.","Su recompensa fue un collar por eso el ave tiene
una línea por su cuello, sí.",,,Neko piedra
201,07:58,08:02,"Yes, that was his reward, it was like his payment","Si, esa fue su recompensa, fue como su pago",,,Neko piedra
202,08:04,08:10,"How interesting to know that the bloodlines came out
of a bird's song","Que interesante saber que los linajes salieron
del canto de un pájaro",,,Neko piedra
203,08:11,08:13,"If it was Utta, and how did he sing?","Si fue Utta, y ¿Cómo cantó?",,,Neko piedra
204,08:14,08:21,"That same one, wayuu said Epieyu, Pushaina, Epinayu Ipuana Uriana","Esa misma, decía wayuu Epieyu, Pushaina, Epinayu Ipuana Uriana",,,Neko piedra
205,08:23,08:25,So from there the eirüku (family lineage) arose.,Entonces de ahí surgió los eirüku (linaje familiar),,,Neko piedra
206,08:26,08:33,"I am Epieyu. What is your professional lineage? Uriana, wayuu
Uriana, from the cat or tiger","Yo soy Epieyu ¿Cuál es tu linaje profe? Uriana, wayuu
Uriana, del gato o tigre",,,Neko piedra
207,08:34,08:39,"If each one was given an animal to represent them
as the stone shows","Si a cada uno le dieron un animal que los representara
como muestra la piedra",,,Neko piedra
208,08:40,08:48,"If each group was told, this is going to be your lineage,
you will be Pushaina, you will be Ipuana, Sapuana","Si a cada grupo le dijeron, este va a ser tu linaje,
ustedes serán Pushaina, ustedes Ipuana, Sapuana",,,Neko piedra
209,08:49,08:53,"And which is the Uriana here? It's over here, where?",¿Y cual es el Uriana de aquí? Esta por aquí ¿Dónde?,,,Neko piedra
210,08:57,08:58,"Uriana, Uriana","Uriana, Uriana",,,Neko piedra
211,09:01,09:04,"Here is the Epieyu, Pushaina, Epieyu","Aquí esta el Epieyu, Pushaina, Epieyu",,,Neko piedra
212,09:05,09:09,"Is this Epieyu? Yes, well this is my lineage, yes.
My mother is Epieyu","¿Este es Epieyu? si, ósea este es mi linaje, sí.
Mi madre es Epieyu",,,Neko piedra
213,09:10,09:16,"Because, ah look this is my eirüku (lineage) Urina,
yes , the one with a head","Porque, ah mira este es mi eirüku (linaje) Urina,
sí, el que tiene cabeza",,,Neko piedra
214,09:17,09:26,"Where I come from, in Akualü, Manaure the Uriana
They are my grandfathers and grandmothers so you are my grandfather","De dónde vengo, en Akualü, Manaure los Uriana
son mis abuelos y abuelas así que vienes siendo mi abuelo",,,Neko piedra
215,09:27,09:29,And look here they are together,Y mira que aquí están juntas,,,Neko piedra
